"","Bigrams","Frequency","Pred","Succ","PredFreq","SuccFreq","PriorML","SuccML"
"1","aa",13392,"a","a",60283697,60283697,0.000222149613684111,0.000222149613684111
"2","ab",1203849,"a","b",60283697,10960911,0.0199697274704304,0.109831108016478
"3","ac",2219296,"a","c",60283697,19814640,0.0368141987045022,0.112002842342833
"4","ad",2876741,"a","d",60283697,32242297,0.0477200494189996,0.0892225823737062
"5","ae",81283,"a","e",60283697,97935156,0.00134834132684331,0.000829967534845199
"6","af",469087,"a","f",60283697,18008835,0.00778132436038221,0.0260476038566626
"7","ag",1204344,"a","g",60283697,14743382,0.0199779386456673,0.0816870918762059
"8","ah",86431,"a","h",60283697,46324263,0.0014337375493079,0.00186578251660474
"9","ai",2510736,"a","i",60283697,51122693,0.0416486732723111,0.0491119667737378
"10","aj",45048,"a","j",60283697,892366,0.000747266711263578,0.050481528879406
"11","ak",822388,"a","k",60283697,5338371,0.0136419635975544,0.154052238032913
"12","al",4622155,"a","l",60283697,30253245,0.0766733831868341,0.152782123041677
"13","am",1610395,"a","m",60283697,18391177,0.026713607163144,0.087563455019763
"14","an",12315713,"a","n",60283697,53779423,0.204295914366367,0.229004186229369
"15","ao",25487,"a","o",60283697,59499493,0.000422784289424054,0.000428356591206584
"16","ap",1055869,"a","p",60283697,13324156,0.0175150007803934,0.0792447191401842
"17","aq",4924,"a","q",60283697,762186,8.16804583169476e-05,0.00646036531765212
"18","ar",6203507,"a","r",60283697,46936590,0.10290521830471,0.132167824718413
"19","as",5709926,"a","s",60283697,47770576,0.0947175817700762,0.119528096123438
"20","at",8114656,"a","t",60283697,70213254,0.134607802835981,0.115571570005857
"21","au",684842,"a","u",60283697,21856142,0.0113603185285733,0.0313340753368092
"22","av",1578968,"a","v",60283697,7408891,0.0261922887708761,0.213117995662239
"23","aw",536506,"a","w",60283697,16150307,0.00889968642765887,0.0332195542784419
"24","ax",73858,"a","x",60283697,1245155,0.00122517369828861,0.0593163100176283
"25","ay",1710288,"a","y",60283697,14373781,0.0283706555024321,0.11898664658937
"26","az",90138,"a","z",60283697,458700,0.00149523012830484,0.196507521255723
"27","ba",726910,"b","a",10960911,60283697,0.0663183926956436,0.012058152306087
"28","bb",87918,"b","b",10960911,10960911,0.00802104861539337,0.00802104861539337
"29","bc",644,"b","c",10960911,19814640,5.87542404093966e-05,3.25012213191862e-05
"30","bd",11421,"b","d",10960911,32242297,0.00104197543434118,0.000354224142281178
"31","be",3798740,"b","e",10960911,97935156,0.346571557783837,0.0387883182623409
"32","bf",253,"b","f",10960911,18008835,2.30820230179772e-05,1.40486600049365e-05
"33","bg",260,"b","g",10960911,14743382,2.37206560659055e-05,1.76350310939512e-05
"34","bh",4649,"b","h",10960911,46324263,0.000424143577116902,0.000100357775794512
"35","bi",424664,"b","i",10960911,51122693,0.0387434949521988,0.00830676114812653
"36","bj",105433,"b","j",10960911,892366,0.00961899973460235,0.118149951925555
"37","bk",574,"b","k",10960911,5338371,5.23679099301144e-05,0.000107523437393167
"38","bl",1302482,"b","l",10960911,30253245,0.118829721361664,0.0430526378244714
"39","bm",15734,"b","m",10960911,18391177,0.00143546462515753,0.000855518926276442
"40","bn",7288,"b","n",10960911,53779423,0.000664908236185843,0.000135516515303632
"41","bo",1140702,"b","o",10960911,59499493,0.104069999291117,0.0191716255464563
"42","bp",177,"b","p",10960911,13324156,1.6148292783328e-05,1.32841434759545e-05
"43","bq",8,"b","q",10960911,762186,7.29866340489399e-07,1.04961256176314e-05
"44","br",668890,"b","r",10960911,46936590,0.0610250370612443,0.0142509287530262
"45","bs",205620,"b","s",10960911,47770576,0.0187593896164288,0.00430432323026626
"46","bt",121540,"b","t",10960911,70213254,0.0110884943778852,0.00173101221031573
"47","bu",1183063,"b","u",10960911,21856142,0.107934732797301,0.0541295439972892
"48","bv",9806,"b","v",10960911,7408891,0.000894633666854881,0.00132354491380694
"49","bw",1219,"b","w",10960911,16150307,0.000111213383632072,7.54784413695665e-05
"50","bx",1,"b","x",10960911,1245155,9.12332925611749e-08,8.03112865466548e-07
"51","by",999355,"b","y",10960911,14373781,0.0911744470874729,0.0695262436515486
"52","bz",88,"b","z",10960911,458700,8.02852974538339e-06,0.000191846522781775
"53","ca",2259971,"c","a",19814640,60283697,0.114055617462644,0.0374889250737227
"54","cb",984,"c","b",19814640,10960911,4.96602512081976e-05,8.97735598801961e-05
"55","cc",453665,"c","c",19814640,19814640,0.0228954449841128,0.0228954449841128
"56","cd",3732,"c","d",19814640,32242297,0.000188345586899383,0.000115748577094244
"57","ce",3513959,"c","e",19814640,97935156,0.177341551499295,0.0358804656419805
"58","cf",779,"c","f",19814640,18008835,3.93143655398231e-05,4.32565460231048e-05
"59","cg",498,"c","g",19814640,14743382,2.51329320139049e-05,3.37778672491834e-05
"60","ch",3267507,"c","h",19814640,46324263,0.164903677281041,0.0705355420333401
"61","ci",1044358,"c","i",19814640,51122693,0.0527063827553768,0.0204284621704103
"62","cj",10,"c","j",19814640,892366,5.04677349676805e-07,1.12061642868509e-05
"63","ck",925655,"c","k",19814640,5338371,0.0467157112115083,0.173396528641415
"64","cl",710849,"c","l",19814640,30253245,0.0358749389340407,0.0234966199493641
"65","cm",882,"c","m",19814640,18391177,4.45125422414942e-05,4.79577788849512e-05
"66","cn",1387,"c","n",19814640,53779423,6.99987484001728e-05,2.57905333049036e-05
"67","co",3609272,"c","o",19814640,59499493,0.18215178272227,0.060660550502506
"68","cp",441,"c","p",19814640,13324156,2.22562711207471e-05,3.30977812028019e-05
"69","cq",37989,"c","q",19814640,762186,0.00191721878368721,0.0498421645110249
"70","cr",726061,"c","r",19814640,46936590,0.036642654118369,0.015468976335946
"71","cs",45547,"c","s",19814640,47770576,0.00229865392457294,0.000953453020955829
"72","ct",1916629,"c","t",19814640,70213254,0.0967279244033704,0.0272972535926052
"73","cu",666485,"c","u",19814640,21856142,0.0336359883399345,0.0304941741319214
"74","cv",92,"c","v",19814640,7408891,4.6430316170266e-06,1.24175129584171e-05
"75","cw",273,"c","w",19814640,16150307,1.37776916461768e-05,1.69037034404361e-05
"76","cx",324,"c","x",19814640,1245155,1.63515461295285e-05,0.000260208568411162
"77","cy",129920,"c","y",19814640,14373781,0.00655676812700105,0.00903867952350185
"78","cz",628,"c","z",19814640,458700,3.16937375597033e-05,0.00136908654894266
"79","da",940192,"d","a",32242297,60283697,0.0291602053042313,0.0155961237745588
"80","db",5974,"d","b",32242297,10960911,0.00018528456579877,0.000545027689760459
"81","dc",4999,"d","c",32242297,19814640,0.000155044784805499,0.000252288207103435
"82","dd",306083,"d","d",32242297,32242297,0.00949321321616757,0.00949321321616757
"83","de",4091376,"d","e",32242297,97935156,0.126894681231923,0.041776377014195
"84","df",28745,"d","f",32242297,18008835,0.000891530774001617,0.00159616099542252
"85","dg",179532,"d","g",32242297,14743382,0.00556821370388096,0.0121771246244586
"86","dh",21209,"d","h",32242297,46324263,0.000657800528293626,0.000457837828958013
"87","di",2409707,"d","i",32242297,51122693,0.0747374481414894,0.0471357602386087
"88","dj",15455,"d","j",32242297,892366,0.000479339297693337,0.0173191269053281
"89","dk",5347,"d","k",32242297,5338371,0.000165838060483098,0.00100161641069907
"90","dl",271559,"d","l",32242297,30253245,0.00842244583256584,0.00897619412396918
"91","dm",96548,"d","m",32242297,18391177,0.00299445166701367,0.00524969119703432
"92","dn",128390,"d","n",32242297,53779423,0.00398203639151392,0.00238734431940633
"93","do",1453203,"d","o",32242297,59499493,0.0450713235474507,0.0244237879472351
"94","dp",3184,"d","p",32242297,13324156,9.87522694180256e-05,0.000238964479251069
"95","dq",2990,"d","q",32242297,762186,9.27353283793645e-05,0.00392292694958973
"96","dr",567936,"d","r",32242297,46936590,0.0176146259058404,0.0121000694767132
"97","ds",809349,"d","s",32242297,47770576,0.0251020887252543,0.0169424166038944
"98","dt",11191,"d","t",32242297,70213254,0.000347090655482765,0.000159385861820334
"99","du",449830,"d","u",32242297,21856142,0.0139515494196955,0.0205813999561313
"100","dv",103535,"d","v",32242297,7408891,0.00321115458988545,0.0139744261320621
"101","dw",46506,"d","w",32242297,16150307,0.00144239103063904,0.00287957374432573
"102","dx",10,"d","x",32242297,1245155,3.10151599930985e-07,8.03112865466548e-06
"103","dy",360103,"d","y",32242297,14373781,0.0111686521589948,0.0250527679529833
"104","dz",388,"d","z",32242297,458700,1.20338820773222e-05,0.000845868759537824
"105","ea",4607205,"e","a",97935156,60283697,0.0470434233034764,0.0764253891064445
"106","eb",155593,"e","b",97935156,10960911,0.00158873489720076,0.0141952616894709
"107","ec",2280315,"e","c",97935156,19814640,0.0232839267647667,0.115082333062826
"108","ed",7805967,"e","d",97935156,32242297,0.0797054634803461,0.242103315405847
"109","ee",2839722,"e","e",97935156,97935156,0.0289959409468853,0.0289959409468853
"110","ef",933186,"e","f",97935156,18008835,0.00952861095151572,0.0518182325508563
"111","eg",540490,"e","g",97935156,14743382,0.00551885576207179,0.036659838292191
"112","eh",147038,"e","h",97935156,46324263,0.00150138117919575,0.00317410338508785
"113","ei",1243103,"e","i",97935156,51122693,0.0126931231926562,0.0243160703603779
"114","ej",30788,"e","j",97935156,892366,0.00031437127643928,0.0345015386063566
"115","ek",116744,"e","k",97935156,5338371,0.00119205405666582,0.0218688435105016
"116","el",3235254,"e","l",97935156,30253245,0.0330346540725375,0.106939073808446
"117","em",2039661,"e","m",97935156,18391177,0.0208266477872359,0.110904321131812
"118","en",8326622,"e","n",97935156,53779423,0.0850217872732035,0.154829143481141
"119","eo",305120,"e","o",97935156,59499493,0.00311553085186284,0.00512811092356703
"120","ep",966201,"e","p",97935156,13324156,0.00986572176389855,0.0725149870655973
"121","eq",190095,"e","q",97935156,762186,0.001941029225501,0.249407624910455
"122","er",12934901,"e","r",97935156,46936590,0.132076177016556,0.275582461359038
"123","es",6783768,"e","s",97935156,47770576,0.0692679552172256,0.142007247306375
"124","et",2499226,"e","t",97935156,70213254,0.0255191914944211,0.0355947895535507
"125","eu",114800,"e","u",97935156,21856142,0.00117220418784037,0.00525252809942395
"126","ev",1414234,"e","v",97935156,7408891,0.0144405140887303,0.190883358926457
"127","ew",677613,"e","w",97935156,16150307,0.00691899648375503,0.0419566637340083
"128","ex",894734,"e","x",97935156,1245155,0.00913598381361643,0.718572386570347
"129","ey",1258351,"e","y",97935156,14373781,0.0128488180485463,0.0875448846757857
"130","ez",30480,"e","z",97935156,458700,0.000311226338374342,0.0664486592544146
"131","fa",1043958,"f","a",18008835,60283697,0.057969213444401,0.017317418339489
"132","fb",134,"f","b",18008835,10960911,7.440792255579e-06,1.22252612031974e-05
"133","fc",281,"f","c",18008835,19814640,1.560345241655e-05,1.41814335259182e-05
