string,corrAns
cheer,cheer
tithe,tithe
think,think
isvar,isvar
belly,belly
kremp,kremp
vodka,vodka
think,think
puppy,puppy
about,about
pykka,pykka
would,would
druze,druze
pykka,pykka
edthe,edthe
would,would
pykka,pykka
about,about
champ,champ
belly,belly
druze,druze
lucky,lucky
cheer,cheer
kremp,kremp
buddy,buddy
isvar,isvar
therm,therm
champ,champ
pykka,pykka
theme,theme
cooed,cooed
isvar,isvar
there,there
kremp,kremp
lucky,lucky
edthe,edthe
therm,therm
cooed,cooed
champ,champ
buddy,buddy
belly,belly
puppy,puppy
champ,champ
druze,druze
there,there
lucky,lucky
cooed,cooed
druze,druze
would,would
haole,haole
would,would
haole,haole
lucky,lucky
druze,druze
buddy,buddy
theme,theme
isvar,isvar
there,there
puppy,puppy
therm,therm
vodka,vodka
faqir,faqir
buddy,buddy
tithe,tithe
puppy,puppy
heond,heond
haole,haole
kremp,kremp
therm,therm
zibja,zibja
theme,theme
heond,heond
belly,belly
there,there
edthe,edthe
cheer,cheer
theme,theme
about,about
edthe,edthe
therm,therm
think,think
faqir,faqir
edthe,edthe
zibja,zibja
champ,champ
faqir,faqir
tithe,tithe
would,would
cheer,cheer
heond,heond
there,there
about,about
vodka,vodka
haole,haole
think,think
buddy,buddy
vodka,vodka
kremp,kremp
think,think
zibja,zibja
cheer,cheer
zibja,zibja
lucky,lucky
haole,haole
tithe,tithe
pykka,pykka
cooed,cooed
faqir,faqir
about,about
heond,heond
vodka,vodka
tithe,tithe
belly,belly
puppy,puppy
cooed,cooed
faqir,faqir
theme,theme
zibja,zibja
heond,heond
isvar,isvar
