string,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,introduction.started,introduction.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
kremp,0,0,0,21,,,,,18.7030821180088,None,38.2038100690115,42.2047574000026,"['k', 'r', 'e', 'm', 'p']","[0.7867752219899558, 0.9265715520014055, 1.0107761579856742, 1.224757710006088, 1.3447512399870902]",38.2038100690115,42.2047574000026,,,,,Ian_w_video,1,2020_Dec_02_2137,typingtask,2020.2.8,60.0150077088397
incan,0,1,1,16,,,,,,,44.1551625400025,48.1550430210191,"['i', 'n', 'c', 'a', 'n']","[0.6578731399786193, 0.7285341919923667, 0.8696501929953229, 0.9657334889925551, 1.0990439649904147]",44.1551625400025,48.1550430210191,,,,,Ian_w_video,1,2020_Dec_02_2137,typingtask,2020.2.8,60.0150077088397
crape,0,2,2,15,,,,,,,50.1377828090044,54.138527423027,"['c', 'r', 'a', 'p', 'e']","[0.6709710489958525, 0.8584750339796301, 0.9583787729789037, 1.1512921839894261, 1.2512015870015603]",50.1377828090044,54.138527423027,,,,,Ian_w_video,1,2020_Dec_02_2137,typingtask,2020.2.8,60.0150077088397
motel,0,3,3,9,,,,,,,56.1224887020071,60.1228991160169,"['m', 'o', 't', 'e', 'l']","[0.6289487369940616, 0.7320160910021514, 0.8609812689828686, 0.9570586939807981, 1.0649135099956766]",56.1224887020071,60.1228991160169,,,,,Ian_w_video,1,2020_Dec_02_2137,typingtask,2020.2.8,60.0150077088397
lumpo,0,4,4,18,,,,,,,62.1061209710024,66.1071738630126,"['l', 'u', 'm', 'p', 'o']","[0.6864583159913309, 0.8097802510019392, 1.0535414979967754, 1.2097173469956033, 1.3455765779945068]",62.1061209710024,66.1071738630126,,,,,Ian_w_video,1,2020_Dec_02_2137,typingtask,2020.2.8,60.0150077088397
zarsh,0,5,5,23,,,,,,,68.089762751013,72.0902337430161,"['z', 'a', 'r', 's', 'h']","[0.7798673240176868, 0.990841133025242, 1.0829357440234162, 1.394838737003738, 1.4906712220108602]",68.089762751013,72.0902337430161,,,,,Ian_w_video,1,2020_Dec_02_2137,typingtask,2020.2.8,60.0150077088397
reshy,0,6,6,19,,,,,,,74.0734567920154,78.0736020070035,"['r', 'e', 's', 'h', 'y']","[0.6533196340024006, 0.7155256239930168, 0.9066283179854508, 1.0263024139858317, 1.2164286339830142]",74.0734567920154,78.0736020070035,,,,,Ian_w_video,1,2020_Dec_02_2137,typingtask,2020.2.8,60.0150077088397
where,0,7,7,5,,,,,,,80.0574020910135,84.0578434780182,"['w', 'h', 'e', 'r', 'e']","[0.7187197190069128, 0.797512666991679, 0.8853497550007887, 0.9615264509920962, 1.0735605579975527]",80.0574020910135,84.0578434780182,,,,,Ian_w_video,1,2020_Dec_02_2137,typingtask,2020.2.8,60.0150077088397
wooer,0,8,8,13,,,,,,,86.0403219340078,90.0413268700067,"['w', 'o', 'o', 'e', 'r']","[0.6691265150147956, 0.7849419040139765, 0.9399842499988154, 1.0663094100018498, 1.1299540080071893]",86.0403219340078,90.0413268700067,,,,,Ian_w_video,1,2020_Dec_02_2137,typingtask,2020.2.8,60.0150077088397
loyal,0,9,9,6,,,,,,,92.0250994160015,96.0252436120063,"['l', 'o', 'y', 'a', 'l']","[0.6194043240102474, 0.8057790760067292, 1.1149617660266813, 1.3287534420087468, 1.4798365860187914]",92.0250994160015,96.0252436120063,,,,,Ian_w_video,1,2020_Dec_02_2137,typingtask,2020.2.8,60.0150077088397
wagon,0,10,10,7,,,,,,,98.0082703430089,102.008459097007,"['w', 'a', 'g', 'o', 'n']","[0.753859693009872, 0.8599186490173452, 1.0609701720240992, 1.1969003039994277, 1.2927248520136345]",98.0082703430089,102.008459097007,,,,,Ian_w_video,1,2020_Dec_02_2137,typingtask,2020.2.8,60.0150077088397
