,Bigram,Mean,STD,CV,Frequency,bf_type
0,th,0.10458336639875573,0.04741206651596987,0.45334232534834484,22288309,high
1,he,0.1238465964210336,0.06434450643055421,0.5195500586209588,21484684,high
2,in,0.15921923838244062,0.05876194291271478,0.3690630825124918,13597302,high
3,er,0.11914585745825762,0.049242255707057765,0.4132938967207455,12934901,high
4,an,0.17574837769554688,0.12787727709921498,0.7276156899766087,12315713,med
5,re,0.13550597814635354,0.13837042029364632,1.0211388618161117,10687711,med
6,nd,0.1464847842187199,0.08383829145471747,0.5723344707907446,9414961,high
7,on,0.19341315380783516,0.07369386981246588,0.3810178799198121,8830487,high
8,ed,0.19938322988389734,0.1320223680299385,0.6621538236029996,7805967,med
9,ou,0.14100291634531037,0.07041304375961359,0.4993729603944854,7425307,med
10,ha,0.1480302627717175,0.094051358498301,0.6353522363419757,6967591,med
11,it,0.15063541143924614,0.06419847580789559,0.42618448872354264,6637233,high
12,hi,0.15473700843037563,0.05108792300947541,0.3301596917744636,6198006,high
13,ti,0.1536272593096591,0.12238838756650196,0.7966580157484264,5135552,high
14,le,0.11347009088415515,0.07140485556865651,0.6292834967547156,5038239,med
15,me,0.11395920338320564,0.07312174907072608,0.6416484750673694,4724108,high
16,ll,0.1559520710237242,0.02281289905202016,0.14628147547043316,4235407,med
17,be,0.13989084111420386,0.07298699527703317,0.5217424864680611,3798740,med
18,co,0.1819002066410121,0.06341101820976962,0.3486033324575271,3609272,med
19,ch,0.11757717995830763,0.03721796508396881,0.3165407190167867,3267507,med
20,ut,0.11745703899622731,0.04443373162948539,0.3782977334454396,3257233,med
21,el,0.17456645666861395,0.07463551423297646,0.4275478557410366,3235254,med
22,ee,0.16212408415978632,0.027776573713713858,0.17132910176589075,2839722,high
23,ly,0.15033070682800734,0.060266734306493125,0.40089437200241484,2589130,med
24,ul,0.2067761845894613,0.06118868271628805,0.2959174570213375,2181271,med
25,ir,0.17468846002341296,0.07187136538804091,0.4114259486769086,2142678,low
26,em,0.13891919224541177,0.08233805712326334,0.5927046925079054,2039661,med
27,ld,0.11276384471078671,0.05394033709631602,0.47834780052649484,2012500,med
28,oo,0.15385182809464765,0.027673593896068296,0.17987172618477995,1933683,med
29,ol,0.20397799618388554,0.038692510641801486,0.1896896300859839,1804856,med
30,wo,0.13492117399147366,0.06615456189993418,0.49032008796569504,1723496,med
31,am,0.13239386956332877,0.037307708910413684,0.28179332648456257,1610395,med
32,ab,0.1418386972460555,0.06896654160234912,0.48623219855656913,1203849,med
33,bu,0.18981308807931455,0.1013154686694405,0.5337643978854885,1183063,low
34,bo,0.19607318302669882,0.091838665475945,0.46838973111095744,1140702,med
35,fa,0.18225983580216554,0.09989445286124285,0.5480881315490352,1043958,low
36,mp,0.2010151330711161,0.09345766266911316,0.46492849190637436,1042198,med
37,od,0.23466060256887014,0.14302562123735843,0.6094999316955307,1013147,low
38,up,0.22410889651070112,0.08189306966920051,0.3654164156097665,968744,low
39,ck,0.13011985903576828,0.03572550616555021,0.2745584450389678,925655,low
40,rm,0.12794712070285497,0.05130688150549689,0.40100067296279573,905131,high
41,uc,0.16765456815819058,0.09243933569336907,0.5513678315412669,891233,low
42,pp,0.15404268967117438,0.06094846164919433,0.39565955242210676,805170,low
43,ru,0.16462939668936316,0.08595012551369084,0.5220824909895583,705492,low
44,lu,0.2298323490973377,0.08498685692213627,0.3697776107494031,568081,low
45,va,0.13840633799785013,0.0651649448580491,0.47082341604227207,560130,med
46,pu,0.254411475675741,0.15293266001445177,0.601123277195921,514720,low
47,ib,0.2754627050666037,0.20133199967398713,0.7308865990599612,493267,low
48,ud,0.1959785340590801,0.08882595777038177,0.45324330134852475,458716,low
49,nk,0.14889883021725778,0.05780879391798917,0.38824209588242276,445067,high
50,vo,0.1567563322974059,0.08121639271545832,0.5181059771248702,368238,low
51,dy,0.12398452352688265,0.05364099704341709,0.43264268408295753,360103,low
52,dd,0.1540839022892251,0.027183917671621517,0.17642282722432356,306083,low
53,eo,0.15117176779618857,0.08226664410577073,0.5441931737987183,305120,high
54,oe,0.12964966801780517,0.059876802405789506,0.46183537004943553,270012,med
55,py,0.2434961172087118,0.1507556504709593,0.6191295869483604,149099,low
56,bj,0.22948590923304396,0.08521228465176722,0.3713181560321151,105433,low
57,ka,0.125596774909063,0.04992731261566192,0.3975206580886434,60568,low
58,zi,0.17756678224329375,0.08350898516571531,0.47029621256128407,54565,low
59,nr,0.1856610153405577,0.08133656128296152,0.43809176166448294,54341,med
60,ky,0.20276065072819924,0.06824266939920166,0.33656761878655145,49764,low
61,ja,0.13081757324584797,0.06964750441452124,0.532401746083696,40073,low
62,ao,0.2162554750573458,0.1396623193098029,0.6458209637132551,25487,med
63,dt,0.20355382374977585,0.060871563250110096,0.29904406671789246,11191,high
64,kr,0.1566531999689558,0.08901199010127832,0.5682104809791181,5683,med
65,dk,0.17061959662277584,0.0643493108839554,0.37715076203248654,5347,low
66,aq,0.3715383511610458,0.16734480779567895,0.4504105895736783,4924,low
67,yk,0.3215189998301504,0.13648506415765116,0.42450077360825467,4767,low
68,kk,0.14844582131891776,0.020592323812802252,0.13871945757612242,1820,low
69,qi,0.22808054375442305,0.13268242415752168,0.5817349519316404,36,low
