,sID,mean_deltart,wf_type
0,s009,-0.01614520000293851,pseudo
1,s020,-0.02699446739133356,pseudo
2,s175,0.0006424846052500762,pseudo
3,s176,-0.025084394114731134,pseudo
4,s178,-0.014799868212822755,pseudo
5,s180,0.011852033808436507,pseudo
6,s181,-0.03079181739660683,pseudo
7,s182,-0.03324418388507968,pseudo
8,s183,-0.03411467613046211,pseudo
9,s189,-0.01327749390879439,pseudo
10,s190,-0.01271636994063573,pseudo
11,s198,-0.02276394899645648,pseudo
12,s207,-0.00429137142812263,pseudo
13,s209,-0.030187936733733406,pseudo
14,s210,-0.05519416208904332,pseudo
15,s212,0.00012198400000670074,pseudo
16,s217,-0.029441357400544262,pseudo
17,s219,-0.02075949662054579,pseudo
18,s224,-0.016498588643077274,pseudo
19,s240,-0.007118720380175445,pseudo
20,s254,-0.029208740902090944,pseudo
21,s261,-0.01988485399982892,pseudo
22,s262,-0.05509124897959773,pseudo
23,s263,-0.00970672857060674,pseudo
24,s267,-0.060491080002652284,pseudo
25,s276,-0.01405411798972636,pseudo
26,s278,-0.017364355319357927,pseudo
27,s279,-0.03604024814666008,pseudo
28,s282,-0.01913422244905057,pseudo
29,s283,-0.02768098372901074,pseudo
30,s286,-0.015739519596465072,pseudo
31,s302,-0.02715291923073856,pseudo
32,s304,-0.04020807446764554,pseudo
33,s305,-0.039741628846968524,pseudo
34,s306,-0.03381214374955259,pseudo
35,s309,-0.0291942675015889,pseudo
36,s311,-0.009670177550867024,pseudo
37,s313,0.009516095999952085,pseudo
38,s336,-0.024540778429831798,pseudo
39,s344,-0.04628051836423728,pseudo
40,s345,-0.01673682291705821,pseudo
41,s347,-0.028891842864567842,pseudo
42,s348,-0.009337925490256692,pseudo
43,s349,-0.015076687232531766,pseudo
44,s350,-0.010823286273151485,pseudo
45,s351,-0.005423460377573541,pseudo
46,s352,0.010951852941812546,pseudo
0,s009,-0.010714785711440657,low
1,s020,-0.022324216279039945,low
2,s175,-0.011203995588527742,low
3,s176,-0.011290846811112096,low
4,s178,-0.0215387936279347,low
5,s180,-0.0073422405199926296,low
6,s181,-0.01588275106274523,low
7,s182,-0.03272235591779463,low
8,s183,-0.00403538316666167,low
9,s189,-0.015343495152609523,low
10,s190,-0.009471794361916353,low
11,s198,-0.01965410258101959,low
12,s207,-0.01810239787223412,low
13,s209,-0.019904516324904576,low
14,s210,-0.038384905089921456,low
15,s212,-0.022802844897972924,low
16,s217,-0.0007239882332071954,low
17,s219,-0.028101955567870075,low
18,s224,-0.04041857396232638,low
19,s240,-0.003486975015570911,low
20,s254,-0.025049578949907125,low
21,s261,-0.015648460784908752,low
22,s262,-0.019741594230770085,low
23,s263,0.00798542339830322,low
24,s267,-0.057706946809280756,low
25,s276,0.0015523057663813255,low
26,s278,-0.01907198809065102,low
27,s279,-0.022880122641031182,low
28,s282,-0.002570100002112277,low
29,s283,-0.014403823991306129,low
30,s286,-0.002280278242719562,low
31,s302,-0.021222756603784323,low
32,s304,-0.013399286000349094,low
33,s305,-0.03146835094271668,low
34,s306,-0.005789005661049401,low
35,s309,-0.016874793874175877,low
36,s311,-0.0013434847824891735,low
37,s313,-0.015081413461582717,low
38,s336,-0.009543739215872597,low
39,s344,-0.023746342497179287,low
40,s345,-0.019015778723034137,low
