,sID,sd_diff,cv_diff
0,s009,-30.39955558255633,-0.05423290391768415
1,s020,-12.657059424033747,-0.05787513519295351
2,s175,-2.679255250281315,-0.038967866455668576
3,s176,-32.22776513882372,-0.14805702158847117
4,s178,-9.948838370576013,-0.013107757670978382
5,s180,-51.45172797741205,-0.2611075488188297
6,s181,-31.224595012101737,-0.16403065961915997
7,s182,-37.32266313548544,-0.09414161355778167
8,s183,-11.865397893676878,-0.02466264531240897
9,s189,-63.93430709986592,-0.2465315721629348
10,s190,-9.474034533674065,-0.05543911775779514
11,s198,-59.230908141118576,-0.22544493491617573
12,s207,-46.40903710165499,-0.18438705096223312
13,s209,-40.12943201311783,-0.273201789050771
14,s210,-26.745239706111818,-0.10357110630266597
15,s212,-40.23852424473633,-0.19449167191937006
16,s217,-14.743325557934376,-0.09204150047776255
17,s219,-33.705767335005035,-0.10746532827005634
18,s224,-73.36096468272754,-0.3063695216563995
19,s240,-0.54454074534749,0.016236283116786487
20,s254,-112.3779908679525,-0.22558892725114982
21,s261,-4.710456753086909,-0.044805191729032134
22,s262,15.695792379601066,0.1149960955674924
23,s263,-76.93900673115407,-0.25760127736058075
24,s267,-58.78093578350787,-0.17552671312674245
25,s276,-23.623820519354723,-0.06660413051355057
26,s278,-85.54391661188743,-0.37811125432016535
27,s279,-23.501599945004905,-0.09716943970640912
28,s282,-8.716118527908208,0.012081570079400084
29,s283,-57.22663685405367,-0.2596216860813286
30,s286,-13.566237378043738,-0.05439883623743996
31,s302,-71.02074272976597,-0.31085692715815255
32,s304,-28.590364328839122,-0.14755220519139395
33,s305,-31.01294199803104,-0.20368565419015555
34,s306,-21.119223301368095,-0.1345274155075244
35,s309,-72.66231678708826,-0.2642004306290022
36,s311,-36.79524751034499,-0.24932594127983804
37,s313,-9.034621516356154,0.015605957389230207
38,s336,-47.801183096915864,-0.4199098386076836
39,s344,-34.349474420262794,-0.09584529944506859
40,s345,-25.794970663168197,-0.15371043078494678
41,s347,-62.37000739009166,-0.18988299984711215
42,s348,-7.846983342594882,-0.0011563007313158957
43,s349,-31.603988466243578,-0.22195076487471388
44,s350,5.7359834034781585,0.034712665649740626
45,s351,-16.652572284617094,-0.0371388678317508
46,s352,17.119197734483365,0.04941678085496115
