,0,1,2,3
1,0,s009,wf_type,-0.00018568240543741002
3,0,s020,wf_type,0.0014594261682096667
5,0,s175,wf_type,-0.0024139036612875002
7,0,s176,wf_type,0.001006232211343909
9,0,s178,wf_type,-0.00023294013479481518
11,0,s180,wf_type,0.0007579040849987007
13,0,s181,wf_type,-0.0006797028209065211
15,0,s182,wf_type,8.57332491618099e-05
17,0,s183,wf_type,0.0017917199617463362
19,0,s189,wf_type,0.0003419979936706862
21,0,s190,wf_type,0.001520657187534702
23,0,s198,wf_type,-0.0014432989296943167
25,0,s207,wf_type,0.0048512540815863784
27,0,s209,wf_type,-0.001313121078305366
29,0,s210,wf_type,0.0006281490119969634
31,0,s212,wf_type,0.0007293990565941846
33,0,s217,wf_type,0.0030582891502593337
35,0,s219,wf_type,0.00022212039955236525
37,0,s224,wf_type,-0.0003797824709799232
39,0,s240,wf_type,-0.0028644080212304624
41,0,s254,wf_type,0.0033207377011740154
43,0,s261,wf_type,-0.00018684134668617026
45,0,s262,wf_type,-0.00015494519230685482
47,0,s263,wf_type,0.003955973779339708
49,0,s267,wf_type,-0.000999519999313635
51,0,s276,wf_type,0.0010717614519914315
53,0,s278,wf_type,0.0006542256376586674
55,0,s279,wf_type,0.0013326444410874203
57,0,s282,wf_type,-0.0020022395031992378
59,0,s283,wf_type,-0.00023888265452708877
61,0,s286,wf_type,0.0012809889996424303
63,0,s302,wf_type,-0.003488974509806731
65,0,s304,wf_type,0.0011788454080952045
67,0,s305,wf_type,-0.0004518278300617196
69,0,s306,wf_type,0.002875021875903864
71,0,s309,wf_type,0.0005688815246052722
73,0,s311,wf_type,-0.001958766499901686
75,1,s009,wf_type,-0.0017439666677361218
77,1,s020,wf_type,0.0011178102803841323
79,1,s175,wf_type,-0.006750038661645401
81,1,s176,wf_type,0.0019226687503620399
83,1,s178,wf_type,-0.001237549857294933
85,1,s180,wf_type,-0.0012419456799807457
87,1,s181,wf_type,0.0006025293918836091
89,1,s182,wf_type,-0.00025705647985500434
91,1,s183,wf_type,-0.0006546895901646556
93,1,s189,wf_type,-0.0022612381924189775
95,1,s190,wf_type,0.001480042110887113
97,1,s198,wf_type,0.0007066862682997331
99,1,s207,wf_type,-0.002655031631120995
101,1,s209,wf_type,-0.0004907102933536995
103,1,s210,wf_type,0.0012952706262391693
105,1,s212,wf_type,0.0014642570754725781
107,1,s217,wf_type,0.0013990481109534094
109,1,s219,wf_type,0.0012983785800989378
111,1,s224,wf_type,-0.0015838089089331053
113,1,s240,wf_type,-0.001740591993713576
115,1,s254,wf_type,-0.0024481103819148655
117,1,s261,wf_type,0.002963484613596496
119,1,s262,wf_type,0.002235241826921398
121,1,s263,wf_type,0.002918117074153908
123,1,s267,wf_type,-0.0031589599992730643
125,1,s276,wf_type,0.0006172432294988534
127,1,s278,wf_type,0.0005695661541838686
129,1,s279,wf_type,-0.0004439694436129034
131,1,s282,wf_type,-0.0026303645025473068
133,1,s283,wf_type,-0.0007730331628260243
135,1,s286,wf_type,-0.001319764489307998
137,1,s302,wf_type,-0.0003891715686329589
139,1,s304,wf_type,0.0006564066327195989
141,1,s305,wf_type,0.0006414264155538602
143,1,s306,wf_type,0.0015817255207366534
145,1,s309,wf_type,0.0015285625008602957
147,1,s311,wf_type,-0.0018514020000657183
149,2,s009,wf_type,-0.0021116203715791947
151,2,s020,wf_type,0.0035539009345781905
153,2,s175,wf_type,0.0022916019427915066
155,2,s176,wf_type,-0.00019527740592960842
157,2,s178,wf_type,0.001388944062327851
159,2,s180,wf_type,-0.0003997976900109282
161,2,s181,wf_type,-0.00041277407979337804
163,2,s182,wf_type,-0.004424812418639045
165,2,s183,wf_type,0.0013089642131149685
167,2,s189,wf_type,0.0003824634038193049
169,2,s190,wf_type,-0.0014083071534211442
171,2,s198,wf_type,0.002632994856900982
173,2,s207,wf_type,0.0013397688750529243
175,2,s209,wf_type,-0.0006369759814297849
177,2,s210,wf_type,-0.0005002827783755475
179,2,s212,wf_type,0.00029677216980846254
181,2,s217,wf_type,0.0004107066032582144
183,2,s219,wf_type,-0.0021847794355212328
185,2,s224,wf_type,0.0017337955002901403
187,2,s240,wf_type,0.0009845849104612233
189,2,s254,wf_type,-0.0021415961794351633
191,2,s261,wf_type,0.004877769230705991
193,2,s262,wf_type,-0.0019223403846163694
195,2,s263,wf_type,-0.00034235243716776643
197,2,s267,wf_type,-0.0015990975004388048
199,2,s276,wf_type,3.9420832763427165e-05
201,2,s278,wf_type,0.00168188666948714
203,2,s279,wf_type,0.0009239518506176506
205,2,s282,wf_type,-0.002236919999122622
207,2,s283,wf_type,0.0010136729628988058
209,2,s286,wf_type,0.0006441535032354284
211,2,s302,wf_type,0.00105806862746017
213,2,s304,wf_type,0.0009757010207531691
215,2,s305,wf_type,0.0009127165100818396
217,2,s306,wf_type,-0.004008628125120594
219,2,s309,wf_type,-0.0026935619566559226
221,2,s311,wf_type,0.0007147404999523132
223,3,s009,wf_type,-0.0008104240739528353
225,3,s020,wf_type,0.003625881308397487
227,3,s175,wf_type,-0.0022924681249302625
229,3,s176,wf_type,-0.0020463865372361252
231,3,s178,wf_type,0.0014314720596092323
233,3,s180,wf_type,-0.000519963480001025
235,3,s181,wf_type,0.0024538210102791882
237,3,s182,wf_type,-0.0015710991054297759
239,3,s183,wf_type,-0.0001735416666760388
241,3,s189,wf_type,0.0014718966251063466
243,3,s190,wf_type,-0.000224186558086701
245,3,s198,wf_type,-0.00044243850398170795
247,3,s207,wf_type,0.0018213290836405487
249,3,s209,wf_type,0.0004356274510820508
251,3,s210,wf_type,-0.0012080759406671877
253,3,s212,wf_type,0.0030492188679249513
255,3,s217,wf_type,-0.00082916886005375
257,3,s219,wf_type,-0.0025209892994974303
259,3,s224,wf_type,0.00015050126239657402
261,3,s240,wf_type,-0.0007552867887084774
263,3,s254,wf_type,0.0030129754106651557
265,3,s261,wf_type,-0.002658453846939105
267,3,s262,wf_type,-0.0006481365384631173
269,3,s263,wf_type,-9.43743911992018e-05
271,3,s267,wf_type,-0.000273989000415894
273,3,s276,wf_type,-0.004289797399299762
275,3,s278,wf_type,-4.4358970645146206e-05
277,3,s279,wf_type,-0.00033486805774305827
279,3,s282,wf_type,-0.006437357999384402
281,3,s283,wf_type,0.0008258173475042003
283,3,s286,wf_type,0.0009240330057218667
285,3,s302,wf_type,-0.0025483485293998267
287,3,s304,wf_type,0.0005762010202618379
289,3,s305,wf_type,5.1519810853589004e-05
291,3,s306,wf_type,0.0012544421867157001
293,3,s309,wf_type,-0.0003511048910339633
295,3,s311,wf_type,0.00031991349998861606
297,4,s009,wf_type,-0.0009642657403471993
299,4,s020,wf_type,0.004374468224311654
301,4,s175,wf_type,0.0021269845884338157
303,4,s176,wf_type,-0.0005360730759163655
305,4,s178,wf_type,0.003943950362989436
307,4,s180,wf_type,0.0009234439649890179
309,4,s181,wf_type,-0.0013168353772994538
311,4,s182,wf_type,0.00029336498490475026
313,4,s183,wf_type,-0.0005703124863301064
315,4,s189,wf_type,-0.0007554101647879431
317,4,s190,wf_type,0.002227473626758352
319,4,s198,wf_type,-0.0008841639956463712
321,4,s207,wf_type,0.0020037642887993047
323,4,s209,wf_type,-0.0014504117645236546
325,4,s210,wf_type,-0.0017097382272671295
327,4,s212,wf_type,0.0007886966981081884
329,4,s217,wf_type,-0.0009451367977989023
331,4,s219,wf_type,-0.0023330765742920682
333,4,s224,wf_type,0.001584378144712591
335,4,s240,wf_type,-0.000758528292073676
337,4,s254,wf_type,0.0006570142090748056
339,4,s261,wf_type,-0.0005052918263222986
341,4,s262,wf_type,-0.00019822403846621263
343,4,s263,wf_type,0.0042872042686212825
345,4,s267,wf_type,-0.0013214170004357572
347,4,s276,wf_type,-0.003168290108684839
349,4,s278,wf_type,0.0026636338446480346
351,4,s279,wf_type,-0.0009255240740323493
353,4,s282,wf_type,-0.0035590260056778773
355,4,s283,wf_type,-0.0005293775549424552
357,4,s286,wf_type,-0.0027195335109718166
359,4,s302,wf_type,-0.0004613088235333519
361,4,s304,wf_type,0.0012537005101449384
363,4,s305,wf_type,0.0004947122638355424
365,4,s306,wf_type,0.004086995312415334
367,4,s309,wf_type,-0.0014777510881211376
369,4,s311,wf_type,0.001247886500113965
371,5,s009,wf_type,-0.000998608795473247
373,5,s020,wf_type,0.0007838869158650973
375,5,s175,wf_type,0.0033339080830501176
377,5,s176,wf_type,-0.0001487980776941051
379,5,s178,wf_type,-0.0013905492777697701
381,5,s180,wf_type,-0.004201907094989111
383,5,s181,wf_type,-0.0013209109096831806
385,5,s182,wf_type,0.001193722824571022
387,5,s183,wf_type,-0.0019635913661291532
389,5,s189,wf_type,-0.00011384776652843297
391,5,s190,wf_type,0.0027761319393499024
393,5,s198,wf_type,-0.0014415499172173414
395,5,s207,wf_type,-0.0004821928587447539
397,5,s209,wf_type,0.001256967647065062
399,5,s210,wf_type,0.0020429806839577717
401,5,s212,wf_type,0.0013504872641481953
403,5,s217,wf_type,0.0012435863257983242
405,5,s219,wf_type,0.004892091067395761
407,5,s224,wf_type,0.00023022027497337995
409,5,s240,wf_type,-0.0024164448061711947
411,5,s254,wf_type,0.003098560104024459
413,5,s261,wf_type,-0.00419745096027887
415,5,s262,wf_type,0.0012266572115377206
417,5,s263,wf_type,-0.0033275859768320693
419,5,s267,wf_type,0.0010781984997447597
421,5,s276,wf_type,-0.0005468364530922037
423,5,s278,wf_type,-0.0014752641009787724
425,5,s279,wf_type,0.0010768745366173493
427,5,s282,wf_type,0.005760033001424744
429,5,s283,wf_type,0.0005644234716987281
431,5,s286,wf_type,0.0006014450080692768
433,5,s302,wf_type,-0.001411752941149357
435,5,s304,wf_type,-0.001543082142716785
437,5,s305,wf_type,-0.00033693867919522855
439,5,s306,wf_type,0.002865325000129816
441,5,s309,wf_type,0.0024764858699990815
443,5,s311,wf_type,-0.0004024280000157866
445,6,s009,wf_type,0.0005233680556692114
447,6,s020,wf_type,-0.0035521257009392443
449,6,s175,wf_type,-0.0007926785990548518
451,6,s176,wf_type,-0.002695137017536373
453,6,s178,wf_type,0.0011596035252770653
455,6,s180,wf_type,0.001076816394997875
457,6,s181,wf_type,0.0013551927215028727
459,6,s182,wf_type,-0.0005129223625656171
461,6,s183,wf_type,0.005820642923493925
463,6,s189,wf_type,-0.001508095018337217
465,6,s190,wf_type,-0.0038513197386809794
467,6,s198,wf_type,-0.00037138783766379536
469,6,s207,wf_type,0.0010809362248270493
471,6,s209,wf_type,0.0001892171564452599
473,6,s210,wf_type,-0.0008770038366492372
475,6,s212,wf_type,0.002154233962260323
477,6,s217,wf_type,-0.0009091141521667092
479,6,s219,wf_type,0.0034088799665268088
481,6,s224,wf_type,-0.0003059198289125596
483,6,s240,wf_type,-0.0033249556557011783
485,6,s254,wf_type,-0.003541998906173018
487,6,s261,wf_type,-0.00265347548142577
489,6,s262,wf_type,0.00043017355769319
491,6,s263,wf_type,-0.003030099387127316
493,6,s267,wf_type,0.00012326150026638173
495,6,s276,wf_type,0.004250283857497074
497,6,s278,wf_type,-0.004106263584720018
499,6,s279,wf_type,-7.27643491700302e-05
501,6,s282,wf_type,0.0008752510009799159
503,6,s283,wf_type,-0.0034277244929547387
505,6,s286,wf_type,0.003720060004852713
507,6,s302,wf_type,0.0005422980392205651
509,6,s304,wf_type,0.000949388775441141
511,6,s305,wf_type,0.0012791240565865401
513,6,s306,wf_type,0.0003885562502243065
515,6,s309,wf_type,0.0009574576100061215
517,6,s311,wf_type,0.0010465440000371033
519,7,s009,wf_type,7.564907341643358e-05
521,7,s020,wf_type,-0.0025036845794406903
523,7,s175,wf_type,-0.002875098619976294
525,7,s176,wf_type,0.0007316336554000533
527,7,s178,wf_type,-0.002507112319648698
529,7,s180,wf_type,0.0009612390799929925
531,7,s181,wf_type,0.0009086931128173448
533,7,s182,wf_type,-0.0013198815106582682
535,7,s183,wf_type,-0.002185017322408188
537,7,s189,wf_type,0.0028318776112084957
539,7,s190,wf_type,-0.00018377236901196027
541,7,s198,wf_type,0.002670131245125688
543,7,s207,wf_type,0.001093598467544937
545,7,s209,wf_type,-0.0006043127422362518
