,keyDataConverted
0,"['LeftShift', 'L', 'o', 'o', 'k', 'i', 'n', 'g', ' ', 'f', 'o', 'r', ' ', 's', 'o', 'm', 'e', ' ', 'g', 'i', 'f', 't', ' ', 'i', 'Backspace', 'h', 'i', 'n', 't', 's', ' ', 'f', 'r', 'o', 'm', ' ', 'y', 'o', 'u', '.', 'Return']"
1,"['LeftShift', 'I', 'c', 'a', 'Backspace', 'Backspace', ' ', 'c', 'a', 'n', ""'"", 't', ' ', 't', 'e', 'l', 'l', ' ', 'y', 'o', 'u', ' ', 'w', 'h', 'e', 'n', ' ', 't', 'h', 'e', 'y', ""'"", 'l', 'l', ' ', 'b', 'e', ' ', 'b', 'a', 'c', 'k', '.', 'Return']"
2,"['LeftShift', 'LeftShift', 'O', 'u', 'r', ' ', 'f', 'o', 'r', 'c', 'e', 's', ' ', 'a', 'r', 'e', ' ', 'r', 'e', 'a', 'd', 'y', ' ', 't', 'o', ' ', 'c', 'o', 'm', 'e', ' ', 'i', 'm', 'm', 'e', 'd', 'a', 'i', 't', 'e', 'l', 'y', '.', 'Return']"
3,"['LeftShift', 'A', ' ', 'b', 'a', 'd', ' ', 't', 'h', 'i', 'n', 'g', ' ', 'h', 'a', 's', ' ', 'b', 'e', 'e', 'n', ' ', 't', 'u', 'r', 'n', 'e', 'd', ' ', 'i', 'n', 't', 'o', ' ', 'a', ' ', 'g', 'o', 'o', 'd', ' ', 't', 'h', 'i', 'n', 'g', '.', 'Return']"
4,"['LeftShift', 'D', 'o', ' ', 'y', 'o', 'u', ' ', 'w', 'a', 'n', 't', ' ', 't', 'o', ' ', 'e', 'a', 't', ' ', 'l', 'u', 'n', 'c', 'h', ' ', 's', 'o', 'm', 'e', 'w', 'h', 'e', 'r', 'e', ' ', 'b', 'e', 'f', 'o', 'r', 'e', 'LeftShift', '?', 'Return']"
5,"['LeftShift', 'S', 'e', 'e', ' ', 'w', 'h', 'a', 't', ' ', 'c', 'n', 'c', 'Backspace', 'Backspace', 'o', 'n', 'c', 'e', 'r', 't', 's', ' ', 'w', 'e', ' ', 'h', 'a', 'v', 'e', ' ', 'y', 'o', 'u', ' ', 'i', 'n', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'f', 'o', 'r', ' ', 'y', 'o', 'u', ' ', 'i', 'n', ' ', 'y', 'o', 'u', 'r', ' ', 'c', 'i', 't', 'y', '.', 'Return']"
6,"['LeftShift', 'I', ' ', 't', 'h', 'i', 'n', 'k', ' ', 't', 'h', 'a', 't', ' ', 'w', 'e', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'e', 'n', 'f', 'o', 'r', 'c', 'e', ' ', 't', 'h', 'e', ' ', 'a', 'g', 'r', 'e', 'e', 'm', 'e', 'n', 't', '.', 'Return']"
7,"['LeftShift', 'I', 't', ' ', 'm', 'u', 's', 't', ' ', 'b', 'e', ' ', 'a', 'c', 'c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 'd', ' ', 'b', 'y', ' ', 'i', 'n', 'c', 'd', 'r', 'e', 'a', 's', 'e', 'd', ' ', 'p', 'r', 'o', 'd', 'u', 'c', 't', 'i', 'v', 'i', 't', 'u', 'y', '.', 'Backspace', 'Backspace', 'u', 'Backspace', 'Backspace', 'y', '.', 'Return']"
8,"['LeftShift', 'J', 'u', 's', 't', ' ', 't', 'o', 'l', 'd', ' ', 't', 'h', 'e', 'm', ' ', 'LeftShift', 'I', ' ', 't', 'h', 'o', 'u', 'g', 'h', 't', ' ', 'i', 't', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'b', 'e', ' ', 'i', 'm', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e', '.', 'Return']"
9,"['LeftShift', 'L', 'e', 't', ' ', 'm', 'e', ' ', 'k', 'n', 'o', 'w', ' ', 'i', 'f', ' ', 't', 'h', 'e', 'r', 'e', ' ', 'a', 'r', 'e', ' ', 'a', 'n', 'y', ' ', 'o', 't', 'h', 'e', 'r', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'i', 's', '.', 'Return']"
10,"['LeftShift', 'I', ' ', 'a', 'm', ' ', 's', 'n', 'o', 'w', 'e', 'd', ' ', 'u', 'n', 'd', 'e', 'r', ' ', 'a', 'n', 'd', ' ', 'o', 'u', 't', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'o', 'f', 'f', 'i', 'c', 'e', '.', 'Return']"
11,"['LeftShift', 'S', 'h', 'o', 'u', 'l', 'd', ' ', 'w', 'e', ' ', 's', 'Backspace', 'e', 'm', 'a', 'i', 'l', ' ', 't', 'h', 'i', 's', ' ', 't', 'o', ' ', 'y', 'o', 'u', ' ', 'o', 'r', ' ', 'f', 'a', 'x', ' ', 't', 'o', ' ', 'y', 'o', 'u', 'r', ' ', 'h', 'o', 'm', 'e', '.', 'Backspace', 'LeftShift', '?', 'Return']"
12,"['LeftShift', 'W', 'e', ' ', 't', 'a', 'l', 'k', 'e', 'd', ' ', 'q', 'u', 'i', 'e', 't', 'l', 'y', ' ', 'w', 'h', 'i', 'l', 'e', ' ', 'e', 'v', 'e', 'r', 'y', 'o', 'Backspace', 'b', 'o', 'd', 'y', ' ', 'g', 'a', 't', 'h', 'e', 'r', 'e', 'd', '.', 'Return']"
13,"['LeftShift', 'I', ' ', 'w', 'i', 'l', 'l', ' ', 'n', 'e', 'e', 'd', ' ', 't', 'o', ' ', 'h', 'a', 'v', 'e', ' ', 'm', 'y', ' ', 'm', 'e', 'm', 'o', 'r', 'y', ' ', 'r', 'e', 'f', 'r', 'e', 's', 'h', 'e', 'd', '.', 'Return']"
14,"['LeftShift', 'W', 'h', 'e', 'n', ' ', 'i', 's', ' ', 'i', 't', ' ', 'u', 's', 'e', 'd', ' ', 'w', 'e', ' ', 't', 'r', 'y', ' ', 'a', 'n', 'd', ' ', 'd', 'o', ' ', 'a', 's', ' ', 'm', 'a', 'n', 'y', ' ', 'a', 'Backspace', 'p', 'a', 't', 'h', 's', ' ', 'a', 's', ' ', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e', '.', '\\', 'Backspace', 'Return']"
15,"['Menu', 'LeftShift', 'S', 'u', 'n', 'd', 'a', 'y', ' ', 't', 'i', 'c', 'k', 'e', 't', 's', ' ', 'h', 'a', 'v', 'e', ' ', 'b', 'e', 'e', 'n', ' ', 'o', 'n', ' ', 's', 'a', 'l', 'e', ' ', 'f', 'o', 'r', ' ', 'w', 'e', 'e', 'k', 's', '.', 'Return']"
16,"['LeftShift', 'S', 'h', 'e', ' ', 's', 't', 'a', 'r', 't', 'e', 'd', ' ', 's', 'i', 'n', 'g', 'i', 'n', 'g', ' ', 'a', 'l', 'o', 'n', 'g', ' ', 's', 'o', 'f', 't', 'l', 'u', 'y', ' ', 'Backspace', 'Backspace', 'Backspace', 'y', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', ' ', 'r', 'a', 'd', 'i', 'o', '.', 'Return']"
0,"['LeftShift', 'L', 'o', 'o', 'k', 'i', 'n', 'g', ' ', 'f', 'o', 'r', ' ', 's', 'o', 'm', 'e', ' ', 'f', 'i', 'g', 'Backspace', 'Backspace', 'Backspace', 'd', 'i', 'Backspace', 'Backspace', 'g', 'i', 'f', 't', ' ', 'h', 'i', 'n', 't', 's', ' ', 'f', 'r', 'o', 'm', ' ', 'y', 'o', 'u', '.', 'Return']"
1,"['LeftShift', 'I', ' ', 'c', 'a', 'n', ""'"", 't', ' ', 't', 'e', 'l', 'l', ' ', 'y', 'o', 'u', ' ', 'w', 'h', 'e', 'n', ' ', 't', 'h', 'e', 'y', ""'"", ';', ';', 'o', 'Backspace', 'Backspace', 'Backspace', 'l', 'l', ' ', 'b', 'Backspace', 'b', 'e', ' ', 'b', 'a', 'c', 'k', '.', 'Return']"
2,"['LeftShift', 'O', 'u', 'r', ' ', 'f', 'o', 'r', 'c', 'e', 's', ' ', 'a', 'r', 'e', ' ', 'r', 'e', 'a', 'd', 'y', ' ', 't', 'o', ' ', 'c', 'o', 'm', 'e', ' ', 'i', 'm', 'm', 'e', 'd', 'i', 'a', 't', 'e', 'l', 'y', 'Return']"
3,"['LeftShift', 'S', 'u', 'n', 'd', 'a', 'y', ' ', 't', 'i', 'c', 'k', 'e', 't', 's', ' ', 'h', 'a', 'v', 'e', ' ', 'b', 'e', 'e', 'n', ' ', 'o', 'n', ' ', 's', 'a', 'l', 'e', ' ', 'f', 'o', 'r', ' ', 'w', 'e', 'e', 'k', 's', '.', 'Return']"
4,"['LeftShift', 'I', ' ', 'w', 'i', 'l', 'l', ' ', 'n', 'e', 'e', 'd', ' ', 't', 'o', ' ', 'h', 'a', 'v', 'e', ' ', 'm', 'e', 'Backspace', 'y', ' ', 'm', 'e', 'm', 'o', 'r', 'y', ' ', 'r', 'e', 'g', 'Backspace', 'f', 'r', 'e', 's', 'h', 'e', 'd', '.', '/', '\\', 'Backspace', 'Backspace', 'Return']"
5,"['LeftShift', 'I', ' ', 't', 'h', 'i', 'n', 'k', ' ', 't', 'h', 'a', 't', ' ', 'w', 'e', ' ', 's', 'h', 'o', 'u', 'd', ' ', 'e', 'n', 'o', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'l', 'f', ' ', 'e', 'n', 'c', 'o', 'r', 'c', 'e', ' ', 't', 'h', 'e', ' ', 'a', 'g', 'r', 'e', 'e', 'm', 'e', 'n', 't', 's', '/', 'Backspace', 'Backspace', ';', 'Backspace', ' ', '', 'Backspace', '.', 'Return']"
6,"['LeftShift', 'D', 'o', ' ', 'y', 'o', 'u', ' ', 'w', 'a', 'n', 't', ' ', 't', 'o', ' ', 'e', 'a', 't', ' ', 'l', 'u', 'n', 'c', 'h', ' ', 's', 'o', 'm', 'e', 'w', 'h', 'e', 'r', 'e', ' ', 'b', 'e', 'f', 'o', 'r', 'e', 'Return']"
7,"['LeftShift', 'J', 'u', 's', 't', ' ', 't', 'o', 'l', 'e', ' ', 't', 'h', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 'd', ' ', 't', 'h', 'e', 'm', ' ', 'LeftShift', 'I', ' ', 't', 'h', 'o', 'u', 'g', 'h', ' ', 't', 'Backspace', 'I', 'U', 't', 'Backspace', 'Backspace', 't', ' ', 'Backspace', 'Backspace', 'Backspace', 'Backspace', 't', ' ', 'i', 't', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'b', 'e', ' ', 'i', 'm', 'p', 'o', 's', 's', 'i', 'b', 'l', 'e', '.', 'Return']"
8,"['LeftShift', 'S', 'h', 'o', 'u', 'l', 'd', ' ', 'w', 'e', ' ', 'e', 'm', 'a', 'i', 'l', ' ', 't', 'h', 'i', 's', ' ', 't', 'o', ' ', 'y', 'o', 'u', ' ', 'f', 'Backspace', 'o', 'r', ' ', 'f', 'a', 'c', ' ', 'Backspace', 'Backspace', 'x', ' ', 't', 'o', ' ', 'y', 'o', 'u', 'r', ' ', 'h', 'o', 'u', 's', 'e', 'RightShift', '?', 'Return']"
9,"['LeftShift', 'L', 'e', 't', ' ', 'm', 'e', ' ', 'k', 'n', 'o', 'w', ' ', 'i', 'f', ' ', 't', 'h', 'e', 'r', 'e', ' ', 'a', 'r', 'e', ' ', 'a', 'n', 'y', ' ', 'o', 't', 'h', 'e', 'r', ' ', 'p', 'r', 'o', 'n', 'b', 'Backspace', 'Backspace', 'b', 'l', 'e', 'm', 's', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'i', 's', '.', 'Return']"
10,"['LeftShift', 'S', 'e', 'e', ' ', 'w', 'a', 'Backspace', 'h', 'a', 't', ' ', 'c', 'o', 'n', 'c', 'e', 'r', 't', 's', ' ', 'w', 'e', ' ', 'h', 'a', 'v', 'e', ' ', 'f', 'o', 'r', ' ', 'y', 'o', 'u', ' ', 'i', 'n', ' ', 'y', 'o', 'u', 'r', ' ', 'c', 'i', 't', 'y', '/', 'Backspace', '.', 'Return']"
11,"['LeftShift', 'I', 't', ' ', 'm', 'u', 's', 't', ' ', 'b', 'e', ' ', 'a', 'c', 'c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 'd', ' ', 'b', 'y', ' ', 'i', 'n', 'c', 'r', 'e', 'a', 's', 'e', 'd', ' ', 'p', 'r', 'o', 'd', 'i', 'Backspace', 'u', 'c', 't', 'i', 'v', 'i', 't', 'y', '.', 'Return']"
12,"['LeftShift', 'A', ' ', 'b', 'a', 'd', ' ', 't', 'h', 'i', 'n', 'g', ' ', 'h', 'a', 's', ' ', 'b', 'e', 'e', 'n', ' ', 't', 'u', 'r', 'n', 'e', 'd', ' ', 'i', 'n', 't', 'o', ' ', 'a', ' ', 'g', 'o', 'o', 'd', ' ', 't', 'h', 'i', 'n', 'g', '.', 'Return']"
13,"['LeftShift', 'W', 'e', ' ', 't', 'a', 'l', 'k', 'e', 'd', ' ', 'a', 'Backspace', 'q', 'u', 'i', 'e', 't', 'l', 'u', ' ', 'Backspace', 'Backspace', 'y', ' ', 'w', 'j', 'i', 'i', 'Backspace', 'Backspace', 'Backspace', 'h', 'i', 'l', 'e', ' ', 'e', 'v', 'e', 'r', 'y', 'b', 'b', 'o', 'Backspace', 'Backspace', 'o', 'd', 'y', ' ', 'g', 'a', 't', 'h', 'e', 'r', 'e', 'd', '.', '/', 'Backspace', 'Return']"
14,"['LeftShift', 'S', 'h', 'e', ' ', 's', 't', 'a', 'r', 't', 'e', 'd', ' ', 's', 'i', 'n', 'g', 'i', 'n', 'g', ' ', 'a', 'l', 'o', 'n', 'g', ' ', 's', 'o', 'f', 't', 'l', 'y', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', ' ', 'r', 'a', 'd', 'i', 'o', '.', 'Return']"
15,"['LeftShift', 'W', 'h', 'e', 'n', ' ', 'i', 't', ' ', 'i', 's', ' ', 'u', 's', 'e', 'd', ' ', 'w', 'e', ' ', 't', 'r', 'y', ' ', 'a', 'm', 'd', ' ', 'Backspace', 'Backspace', 'Backspace', 'n', 'd', ' ', 'd', 'o', ' ', 'a', 's', ' ', 'm', 'a', 'n', 'y', ' ', 'p', 'a', 't', 'h', 's', ' ', 'a', 's', ' ', 'p', 'o', 's', 's', 'i', 'b', 'k', 'e', '=', 'Backspace', 'Backspace', 'Backspace', 'l', 'e', '.', 'Return']"
