with_turbo,without_turbo,,id_list,age_atcollection,sex
s009_02162024,s175_08032022,,s009_02162024,31,
s020_02082024,s178_08302022,,s020_02082024,27,
s176_10262023,s180_10102022,,s176_10262023,21,
s207_09212023,s181_10132022,,s207_09212023,20,
s209_09202023,s182_10192022,,s209_09202023,22,
s217_11092023,s183_10272022,,s217_11092023,20,
s240_11162023,s189_11222022,,s240_11162023,21,
s254_11022023,s190_11222022,,s254_11022023,19,
s261_12122023,s198_02202023,,s261_12122023,26,
s262_01232024,s210_03102023,,s262_01232024,21,
s263_01312024,s212_10032023,,s263_01312024,19,
s267_02122024,s219_04132023,,s267_02122024,22,
s276_02212024,s224_04212023,,s276_02212024,20,
s278_02232024,,,s278_02232024,19,
s279_02232024,,,s279_02232024,20,
s282_02292024,,,s282_02292024,18,
s283_02292024,,,s283_02292024,20,
s286_03082024,,,s286_03082024,18,
s302_05282024,,,s302_05282024,19,
s304_07102024,,,s304_07102024,20,
s305_07112024,,,s305_07112024,?,
s306_07122024,,,s306_07122024,21,
s309_09232024,,,s309_09232024,19,
s311_10152024,,,s311_10152024,18,
s313_11192024,,,s313_11192024,20,
,,,s175_08032022,20,
,,,s178_08302022,19,
,,,s180_10102022,25,
,,,s181_10132022,25,
,,,s182_10192022,26,
,,,s183_10272022,19,
,,,s189_11222022,19,
,,,s190_11222022,18,
,,,s198_02202023,25,
,,,s210_03102023,21,
,,,s212_10032023,20,
,,,s219_04132023,19,
,,,s224_04212023,19,
,,,,20.97297297,
,,,,2.9859531,
