,sID,Bigram #,Trial #,Bigram,IKI,string,resp_string
0,p08,0,0,'h' 'e',0.09604869399981908,heond,heond
1,p08,1,0, 'e' 'o',0.12002904200016928,heond,heond
2,p08,2,0, 'o' 'n',0.1279586359996756,heond,heond
3,p08,3,0, 'n' 'd',0.1920134440001675,heond,heond
4,p08,4,1,'t' 'h',0.19198957300022812,therm,therm
5,p08,5,1, 'h' 'e',0.07996789699973306,therm,therm
6,p08,6,1, 'e' 'r',0.18399279400000523,therm,therm
7,p08,7,1, 'r' 'm',0.07993494900028963,therm,therm
8,p08,8,2,'d' 'r',0.23998312000003352,druze,druze
9,p08,9,2, 'r' 'u',0.1680854989999716,druze,druze
10,p08,10,2, 'u' 'z',0.49586784900020575,druze,druze
11,p08,11,2, 'z' 'e',0.2401006889999735,druze,druze
12,p08,12,3,'o' 'u',0.8160086889997729,puppy,ouppy
13,p08,13,3, 'u' 'p',0.24801761500020802,puppy,ouppy
14,p08,14,3, 'p' 'p',0.15198108100003083,puppy,ouppy
15,p08,15,3, 'p' 'y',0.24811874499982878,puppy,ouppy
16,p08,16,4,'p' 'y',0.30407950500011793,pykka,pykka
17,p08,17,4, 'y' 'k',0.7598998159996881,pykka,pykka
18,p08,18,4, 'k' 'k',0.15211209400013104,pykka,pykka
19,p08,19,4, 'k' 'a',0.08791527599987603,pykka,pykka
20,p08,20,5,'l' 'u',0.3119959289997496,lucky,lucky
21,p08,21,5, 'u' 'c',0.34396956599994155,lucky,lucky
22,p08,22,5, 'c' 'k',0.1679628900001262,lucky,lucky
23,p08,23,5, 'k' 'y',0.2481245620001573,lucky,lucky
24,p08,24,6,'b' 'e',0.1520940119999068,belly,belly
25,p08,25,6, 'e' 'l',0.20004405400004543,belly,belly
26,p08,26,6, 'l' 'l',0.14393368099990766,belly,belly
27,p08,27,6, 'l' 'y',0.2400317910000922,belly,belly
28,p08,28,7,'c' 'o',0.18405303600002298,cooed,cooed
29,p08,29,7, 'o' 'o',0.13607221400025082,cooed,cooed
30,p08,30,7, 'o' 'e',0.31999700200003645,cooed,cooed
31,p08,31,7, 'e' 'd',0.19199122899999566,cooed,cooed
32,p08,32,8,'v' 'a',0.07996719999982815,vanru,vanru
33,p08,33,8, 'a' 'n',0.1840329090000523,vanru,vanru
