,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq
0,s179,0,0,0,'p' 'y',py,0.14389541978016496,pykka,pyykka,0,149099
1,s179,1,0,1, 'y' 'y',yk,1.344066743273288,pykka,pyykka,0,4767
2,s179,2,0,2, 'y' 'k',kk,0.31204639188945293,pykka,pyykka,0,1820
3,s179,3,0,3, 'k' 'k',ka,0.11202108580619097,pykka,pyykka,0,60568
4,s179,4,0,4, 'k' 'a',,0.1119576538912952,pykka,pyykka,0,
5,s179,5,1,0,'f' 'a',fa,0.11993857007473707,faqir,faqir,0,1043958
6,s179,6,1,1, 'a' 'q',aq,0.34401050629094243,faqir,faqir,0,4924
7,s179,7,1,2, 'q' 'i',qi,0.47192033287137747,faqir,faqir,0,36
8,s179,8,1,3, 'i' 'r',ir,0.14413104904815555,faqir,faqir,0,2142678
9,s179,9,2,0,'b' 'e',be,0.1439275569282472,belly,belly,0,3798740
10,s179,10,2,1, 'e' 'l',el,0.13605080405250192,belly,belly,0,3235254
11,s179,11,2,2, 'l' 'l',ll,0.12796499021351337,belly,belly,0,4235407
12,s179,12,2,3, 'l' 'y',ly,0.13595176581293344,belly,belly,0,2589130
13,s179,13,3,0,'t' 'h',th,0.09591617062687874,therm,therm,0,22288309
14,s179,14,3,1, 'h' 'e',he,0.1600825171917677,therm,therm,0,21484684
15,s179,15,3,2, 'e' 'r',er,0.06395618710666895,therm,therm,0,12934901
16,s179,16,3,3, 'r' 'm',rm,0.08005300583317876,therm,therm,0,905131
17,s179,17,4,0,'t' 'h',th,0.07990874210372567,theme,theme,0,22288309
18,s179,18,4,1, 'h' 'e',he,0.18402672419324517,theme,theme,0,21484684
19,s179,19,4,2, 'e' 'm',em,0.08799099968746305,theme,theme,0,2039661
20,s179,20,4,3, 'm' 'e',me,0.1359241111204028,theme,theme,0,4724108
21,s179,21,5,0,'h' 'a',ha,0.1759027768857777,haole,haole,0,6967591
22,s179,22,5,1, 'a' 'o',ao,0.16015589283779263,haole,haole,0,25487
23,s179,23,5,2, 'o' 'l',ol,0.18384835217148066,haole,haole,0,1804856
24,s179,24,5,3, 'l' 'e',le,0.17611025786027312,haole,haole,0,5038239
25,s179,25,6,0,'c' 'h',ch,0.10405268426984549,champ,champ,0,3267507
26,s179,26,6,1, 'h' 'a',ha,0.11987841781228781,champ,champ,0,6967591
27,s179,27,6,2, 'a' 'm',am,0.12014900194481015,champ,champ,0,1610395
28,s179,28,6,3, 'm' 'p',mp,0.14387240214273334,champ,champ,0,1042198
29,s179,29,7,0,'h' 'a',ha,0.18399037001654506,haole,haole,1,6967591
30,s179,30,7,1, 'a' 'o',ao,0.10400952817872167,haole,haole,1,25487
31,s179,31,7,2, 'o' 'l',ol,0.19999674893915653,haole,haole,1,1804856
32,s179,32,7,3, 'l' 'e',le,0.0801603589206934,haole,haole,1,5038239
33,s179,33,8,0,'c' 'h',ch,0.12812810204923153,cheer,cheer,0,3267507
34,s179,34,8,1, 'h' 'e',he,0.1918839868158102,cheer,cheer,0,21484684
35,s179,35,8,2, 'e' 'e',ee,0.13609773013740778,cheer,cheer,0,2839722
