,sID,Bigram #,Trial #,Bigram,IKI,string,resp_string,rep #
0,p10,0,0,'h' 'a',0.16794688801746815,haole,haibackspaceole,0
1,p10,1,0, 'a' 'i',0.27999984996858984,haole,haibackspaceole,0
2,p10,2,0, 'i' 'backspace',0.5760127460234798,haole,haibackspaceole,0
3,p10,3,0, 'backspace' 'o',0.3840411620330997,haole,haibackspaceole,0
4,p10,4,0, 'o' 'l',0.16794880299130455,haole,haibackspaceole,0
5,p10,5,0, 'l' 'e',0.080027068965137,haole,haibackspaceole,0
6,p10,6,1,'b' 'u',0.2719654150423594,buddy,buddy,0
7,p10,7,1, 'u' 'd',0.30404227698454633,buddy,buddy,0
8,p10,8,1, 'd' 'd',0.17592881398741156,buddy,buddy,0
9,p10,9,1, 'd' 'y',0.08801168197533116,buddy,buddy,0
10,p10,10,2,'d' 'r',0.22412008297396824,druze,druze,0
11,p10,11,2, 'r' 'u',0.18391221202909946,druze,druze,0
12,p10,12,2, 'u' 'z',0.3440047570038587,druze,druze,0
13,p10,13,2, 'z' 'e',0.28800319897709414,druze,druze,0
14,p10,14,3,'p' 'u',0.5040760369738564,puppy,puppy,0
15,p10,15,3, 'u' 'p',0.27992463402915746,puppy,puppy,0
16,p10,16,3, 'p' 'p',0.1439709319965914,puppy,puppy,0
17,p10,17,3, 'p' 'y',0.18396583199501038,puppy,puppy,0
18,p10,18,4,'t' 'h',0.21601159602869302,therm,therm,0
19,p10,19,4, 'h' 'e',0.128079229965806,therm,therm,0
20,p10,20,4, 'e' 'r',0.20045028300955892,therm,therm,0
21,p10,21,4, 'r' 'm',0.12773037102306262,therm,therm,0
22,p10,22,5,'h' 'a',0.20020840200595558,haole,haole,1
23,p10,23,5, 'a' 'o',0.25579469598596916,haole,haole,1
24,p10,24,5, 'o' 'l',0.17599468998378143,haole,haole,1
25,p10,25,5, 'l' 'e',0.10401355300564319,haole,haole,1
26,p10,26,6,'a' 'b',0.22404725197702646,about,about,0
27,p10,27,6, 'b' 'o',0.22394791600527242,about,about,0
28,p10,28,6, 'o' 'u',0.17603945097653195,about,about,0
29,p10,29,6, 'u' 't',0.09601766202831641,about,about,0
30,p10,30,7,'c' 'h',0.15205407503526658,champ,champ,0
31,p10,31,7, 'h' 'a',0.15995609696255997,champ,champ,0
32,p10,32,7, 'a' 'm',0.1439913100330159,champ,champ,0
33,p10,33,7, 'm' 'p',0.1920015619834885,champ,champ,0
34,p10,34,8,'w' 'o',0.608057985024061,would,would,0
35,p10,35,8, 'o' 'u',0.21596725599374622,would,would,0
36,p10,36,8, 'u' 'l',0.3680599379586056,would,would,0
37,p10,37,8, 'l' 'd',0.1118951000389643,would,would,0
38,p10,38,9,'v' 'a',0.09599153097951785,vanru,vanru,0
39,p10,39,9, 'a' 'n',0.2720078239799477,vanru,vanru,0
40,p10,40,9, 'n' 'r',0.24009326100349426,vanru,vanru,0
41,p10,41,9, 'r' 'u',0.12830629100790247,vanru,vanru,0
42,p10,42,10,'p' 'y',0.36805651197209954,pykka,pykkaf,0
43,p10,43,10, 'y' 'k',0.311975168006029,pykka,pykkaf,0
44,p10,44,10, 'k' 'k',0.11997805302962661,pykka,pykkaf,0
45,p10,45,10, 'k' 'a',0.08804607298225164,pykka,pykkaf,0
46,p10,46,10, 'a' 'f',0.6319884840049781,pykka,pykkaf,0
47,p10,47,11,'w' 'u',0.7039404079550877,would,wuld,1
48,p10,48,11, 'u' 'l',0.3200065750279464,would,wuld,1
