,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.keys.7,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,key_resp.rt.7,resp_string,WF Type,BF Type
0,83,0,faqir,fa,aq,qi,ir,f,a,q,u,i,r,space,0.776513110846281,1.3125112038105726,1.6004348541609943,1.8565499358810484,2.0565158440731466,2.4405303332023323,3.336453589145094,faquirspace,lowwf,lowbf
1,83,1,buddy,bu,ud,dd,dy,b,u,d,d,y,,,0.9891649540513754,1.2371817077510059,1.5011144718155265,1.629108587745577,1.8211726769804955,0.0,0.0,buddy,highwf,lowbf
2,83,2,puppy,pu,up,pp,py,p,u,p,p,y,,,1.0013953782618046,1.2332997103221714,2.329308602027595,2.4733789460733533,2.593288779258728,0.0,0.0,puppy,medwf,lowbf
3,83,3,haole,ha,ao,ol,le,h,a,o,l,e,,,0.8295734650455415,1.2376692998223007,1.5095583978109062,1.7095562820322812,1.7976525956764817,0.0,0.0,haole,lowwf,medbf
4,83,4,therm,th,he,er,rm,t,h,e,r,m,,,0.7855328163132071,0.9294991539791226,1.1374479793012142,1.2495606429874897,1.4014973561279476,0.0,0.0,therm,lowwf,highbf
5,83,5,there,th,he,er,re,t,h,e,r,e,,,0.6535685230046511,0.7974914750084281,0.9015689170919359,0.9975146614015102,1.1254458562470973,0.0,0.0,there,highwf,highbf
6,83,6,belly,be,el,ll,ly,b,e,l,l,y,,,0.7053195158950984,1.0013500661589205,1.2253072471357882,1.3774047149345279,1.4733823710121214,0.0,0.0,belly,medwf,medbf
7,83,7,think,th,hi,in,nk,t,h,i,n,k,,,0.7172022233717144,0.9092118972912431,1.0692938519641757,1.2692533740773797,1.4533153921365738,0.0,0.0,think,highwf,highbf
8,83,8,vodka,vo,od,dk,ka,v,o,d,k,a,,,0.8655782057903707,1.0815615439787507,1.4255666858516634,1.5775059079751372,1.745604510884732,0.0,0.0,vodka,medwf,lowbf
9,83,9,faqir,fa,aq,qi,ir,f,a,q,i,r,,,0.885635114274919,1.3015501513145864,1.6376919280737638,1.9015515963546932,2.053616809193045,0.0,0.0,faqir,lowwf,lowbf
10,83,10,tithe,ti,it,th,he,t,i,t,h,e,,,0.9217514800839126,1.0896656732074916,1.209642309229821,1.3376890309154987,1.4577622739598155,0.0,0.0,tithe,lowwf,highbf
11,83,11,faqir,fa,aq,qi,ir,f,a,q,i,r,,,0.7496582013554871,1.1336561222560704,1.3496308350004256,1.5736479670740664,1.7175547564402223,0.0,0.0,faqir,lowwf,lowbf
12,83,12,tithe,ti,it,th,he,t,i,t,h,e,,,0.7536875018849969,0.8895841049961746,1.0175737319514155,1.1536736506968737,1.257650785613805,0.0,0.0,tithe,lowwf,highbf
13,83,13,puppy,pu,up,pp,py,p,u,p,p,y,,,0.9574213279411197,1.173384577035904,1.6854209220036864,1.8213245389051735,1.9494079761207104,0.0,0.0,puppy,medwf,lowbf
14,83,14,pykka,py,yk,kk,ka,p,y,k,k,a,,,1.0334177911281586,1.5853925980627537,1.9854176421649754,2.129334851168096,2.2253564703278244,0.0,0.0,pykka,pseudo,lowbf
15,83,15,cooed,co,oo,oe,ed,c,o,o,e,d,,,0.885370303876698,1.0453830589540303,1.1893216562457383,1.2614109562709928,1.3654057150706649,0.0,0.0,cooed,lowwf,medbf
16,83,16,edthe,ed,dt,th,he,e,d,t,h,e,,,0.7774574221111834,0.9535852093249559,1.1615748652257025,1.2575394231826067,1.3774778172373772,0.0,0.0,edthe,pseudo,highbf
17,83,17,vodka,vo,od,dk,ka,v,o,d,k,a,,,0.7014378551393747,0.9415153567679226,1.1415525218471885,1.301450476050377,1.4215305740945041,0.0,0.0,vodka,medwf,lowbf
18,83,18,champ,ch,ha,am,mp,c,h,a,m,p,,,1.0414336314424872,1.1773849432356656,1.2974067032337189,1.7933194423094392,2.0093020210042596,0.0,0.0,champ,medwf,medbf
19,83,19,zibja,zi,ib,bj,ja,z,i,b,k,a,,,0.9169108439236879,1.1729780840687454,1.900915436912328,2.0690323347225785,2.853027888108045,0.0,0.0,zibka,pseudo,lowbf
20,83,20,there,th,he,er,re,t,h,e,r,e,,,0.6492226510308683,0.7692264658398926,0.8572260551154613,0.9452283941209316,1.0651868050917983,0.0,0.0,there,highwf,highbf
21,83,21,belly,be,el,ll,ly,b,e,l,l,y,,,0.7013648790307343,0.8694700016640127,1.1654665498062968,1.3093720036558807,1.4214868787676096,0.0,0.0,belly,medwf,medbf
22,83,22,vanru,va,an,nr,ru,v,a,n,r,u,,,0.689567169174552,0.8815108123235404,1.417503942269832,1.5535929212346673,1.681552563328296,0.0,0.0,vanru,pseudo,medbf
23,83,23,pykka,py,yk,kk,ka,p,y,k,k,a,,,0.9094365118071437,1.301445229910314,1.981493033003062,2.1174449459649622,2.2615789039991796,0.0,0.0,pykka,pseudo,lowbf
24,83,24,zibja,zi,ib,bj,ja,z,i,b,j,a,,,0.9776358241215348,1.2095878990367055,1.8095888057723641,2.1776067158207297,2.65769404405728,0.0,0.0,zibja,pseudo,lowbf
25,83,25,about,ab,bo,ou,ut,a,b,o,u,t,,,0.6853780006058514,0.949393730610609,1.1413608728908002,1.2533964118920267,1.381338112987578,0.0,0.0,about,highwf,medbf
26,83,26,haole,ha,ao,ol,le,h,a,o,l,e,,,0.8092910158447921,0.9454625560902059,1.193296556826681,1.393325257115066,1.4812945839948952,0.0,0.0,haole,lowwf,medbf
