,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #
0,p11,0,0,0,'p' 'u',pu,0.3039785651490092,puppy,puppyspace,0
1,p11,1,0,1, 'u' 'p',up,0.2479643328115344,puppy,puppyspace,0
2,p11,2,0,2, 'p' 'p',pp,0.136017344892025,puppy,puppyspace,0
3,p11,3,0,3, 'p' 'y',py,0.2641030512750149,puppy,puppyspace,0
4,p11,4,0,4, 'y' 'space',,0.927855032030493,puppy,puppyspace,0
5,p11,5,1,0,'c' 'h',ch,0.1520143523812294,cheer,cheer,0
6,p11,6,1,1, 'h' 'e',he,0.19997717253863811,cheer,cheer,0
7,p11,7,1,2, 'e' 'e',ee,0.15196409402415156,cheer,cheer,0
8,p11,8,1,3, 'e' 'r',er,0.2479992751032114,cheer,cheer,0
9,p11,9,2,0,'e' 'd',ed,0.24003744218498468,edthe,edthe,0
10,p11,10,2,1, 'd' 't',dt,0.320044226013124,edthe,edthe,0
11,p11,11,2,2, 't' 'h',th,0.1439236719161272,edthe,edthe,0
12,p11,12,2,3, 'h' 'e',he,0.19199598394334316,edthe,edthe,0
13,p11,13,3,0,'h' 'e',he,0.19196257181465626,heond,heond,0
14,p11,14,3,1, 'e' 'o',eo,0.1679853373207152,heond,heond,0
15,p11,15,3,2, 'o' 'n',on,0.23998877871781588,heond,heond,0
16,p11,16,3,3, 'n' 'd',nd,0.16806738218292594,heond,heond,0
17,p11,17,4,0,'a' 'b',ab,0.15199262090027332,about,about,0
18,p11,18,4,1, 'b' 'o',bo,0.1759653869085014,about,about,0
19,p11,19,4,2, 'o' 'u',ou,0.16008728882297873,about,about,0
20,p11,20,4,3, 'u' 't',ut,0.21596131194382906,about,about,0
21,p11,21,5,0,'d' 'r',dr,0.3199282786808908,druze,druze,0
22,p11,22,5,1, 'r' 'u',ru,0.4000025079585612,druze,druze,0
23,p11,23,5,2, 'u' 'z',uz,0.28006302705034614,druze,druze,0
24,p11,24,5,3, 'z' 'e',ze,0.31993909226730466,druze,druze,0
25,p11,25,6,0,'b' 'u',bu,0.20002359291538596,buddy,buddy,0
26,p11,26,6,1, 'u' 'd',ud,0.4480215469375253,buddy,buddy,0
27,p11,27,6,2, 'd' 'd',dd,0.1919493260793388,buddy,buddy,0
28,p11,28,6,3, 'd' 'y',dy,0.17606703704223037,buddy,buddy,0
29,p11,29,7,0,'t' 'h',th,0.13600935926660895,therm,therm,0
30,p11,30,7,1, 'h' 'e',he,0.19203780172392726,therm,therm,0
31,p11,31,7,2, 'e' 'r',er,0.1280025439336896,therm,therm,0
32,p11,32,7,3, 'r' 'm',rm,0.2240447229705751,therm,therm,0
33,p11,33,8,0,'p' 'u',pu,0.3118499629199505,puppy,puppy,1
34,p11,34,8,1, 'u' 'p',up,0.2640013350173831,puppy,puppy,1
35,p11,35,8,2, 'p' 'p',pp,0.12800823897123337,puppy,puppy,1
36,p11,36,8,3, 'p' 'y',py,0.2800758518278599,puppy,puppy,1
37,p11,37,9,0,'h' 'a',ha,0.22395363776013255,haole,haole,0
38,p11,38,9,1, 'a' 'o',ao,0.13609662605449557,haole,haole,0
39,p11,39,9,2, 'o' 'l',ol,0.27190257981419563,haole,haole,0
40,p11,40,9,3, 'l' 'e',le,0.16804316407069564,haole,haole,0
41,p11,41,10,0,'t' 'h',th,0.1439352841116488,there,there,0
42,p11,42,10,1, 'h' 'e',he,0.12800846993923187,there,there,0
43,p11,43,10,2, 'e' 'r',er,0.12004552502185106,there,there,0
44,p11,44,10,3, 'r' 'e',re,0.12803971581161022,there,there,0
45,p11,45,11,0,'p' 'u',pu,0.3279534736648202,puppy,puppy,2
46,p11,46,11,1, 'u' 'p',up,0.2480030390433967,puppy,puppy,2
47,p11,47,11,2, 'p' 'p',pp,0.14404851011931896,puppy,puppy,2
48,p11,48,11,3, 'p' 'y',py,0.3120206189341843,puppy,puppy,2
49,p11,49,12,0,'b' 'e',be,0.2239412902854383,belly,belly,0
50,p11,50,12,1, 'e' 'l',el,0.2080017328262329,belly,belly,0
51,p11,51,12,2, 'l' 'l',ll,0.18404487427324057,belly,belly,0
52,p11,52,12,3, 'l' 'y',ly,0.2800004887394607,belly,belly,0
53,p11,53,13,0,'l' 'u',lu,0.29599899239838123,lucky,lucky,0
54,p11,54,13,1, 'u' 'c',uc,0.272047673817724,lucky,lucky,0
55,p11,55,13,2, 'c' 'k',ck,0.10403076093643904,lucky,lucky,0
56,p11,56,13,3, 'k' 'y',ky,0.30391710717231035,lucky,lucky,0
57,p11,57,14,0,'t' 'i',ti,0.16004537278786302,tithe,tithe,0
58,p11,58,14,1, 'i' 't',it,0.17595539428293705,tithe,tithe,0
59,p11,59,14,2, 't' 'h',th,0.13601019559428096,tithe,tithe,0
60,p11,60,14,3, 'h' 'e',he,0.18399783596396446,tithe,tithe,0
61,p11,61,15,0,'v' 'a',va,0.13595219515264034,vanru,vanru,0
62,p11,62,15,1, 'a' 'n',an,0.152039029635489,vanru,vanru,0
63,p11,63,15,2, 'n' 'r',nr,0.1760477852076292,vanru,vanru,0
64,p11,64,15,3, 'r' 'u',ru,0.1839782171882689,vanru,vanru,0
65,p11,65,16,0,'l' 'u',lu,0.3440635367296636,lucky,lucky,1
