,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #
0,s83,0,0,0,'f' 'a',fa,0.5359980929642916,faqir,faquirspace,0
1,s83,1,0,1, 'a' 'q',aq,0.28792365035042167,faqir,faquirspace,0
2,s83,2,0,2, 'q' 'u',qi,0.25611508172005415,faqir,faquirspace,0
3,s83,3,0,3, 'u' 'i',ir,0.19996590819209814,faqir,faquirspace,0
4,s83,4,0,4, 'i' 'r',,0.3840144891291857,faqir,faquirspace,0
5,s83,5,0,5, 'r' 'space',,0.8959232559427619,faqir,faquirspace,0
6,s83,6,1,0,'b' 'u',bu,0.2480167536996305,buddy,buddy,0
7,s83,7,1,1, 'u' 'd',ud,0.2639327640645206,buddy,buddy,0
8,s83,8,1,2, 'd' 'd',dd,0.1279941159300506,buddy,buddy,0
9,s83,9,1,3, 'd' 'y',dy,0.19206408923491836,buddy,buddy,0
10,s83,10,2,0,'p' 'u',pu,0.23190433206036687,puppy,puppy,0
11,s83,11,2,1, 'u' 'p',up,1.0960088917054236,puppy,puppy,0
12,s83,12,2,2, 'p' 'p',pp,0.14407034404575825,puppy,puppy,0
13,s83,13,2,3, 'p' 'y',py,0.11990983318537474,puppy,puppy,0
14,s83,14,3,0,'h' 'a',ha,0.40809583477675915,haole,haole,0
15,s83,15,3,1, 'a' 'o',ao,0.2718890979886055,haole,haole,0
16,s83,16,3,2, 'o' 'l',ol,0.199997884221375,haole,haole,0
17,s83,17,3,3, 'l' 'e',le,0.08809631364420056,haole,haole,0
18,s83,18,4,0,'t' 'h',th,0.1439663376659155,therm,therm,0
19,s83,19,4,1, 'h' 'e',he,0.20794882532209158,therm,therm,0
20,s83,20,4,2, 'e' 'r',er,0.11211266368627548,therm,therm,0
21,s83,21,4,3, 'r' 'm',rm,0.15193671314045787,therm,therm,0
22,s83,22,5,0,'t' 'h',th,0.14392295200377703,there,there,0
23,s83,23,5,1, 'h' 'e',he,0.10407744208350778,there,there,0
24,s83,24,5,2, 'e' 'r',er,0.09594574430957437,there,there,0
25,s83,25,5,3, 'r' 'e',re,0.12793119484558702,there,there,0
26,s83,26,6,0,'b' 'e',be,0.2960305502638221,belly,belly,0
27,s83,27,6,1, 'e' 'l',el,0.22395718097686768,belly,belly,0
28,s83,28,6,2, 'l' 'l',ll,0.15209746779873967,belly,belly,0
29,s83,29,6,3, 'l' 'y',ly,0.09597765607759356,belly,belly,0
30,s83,30,7,0,'t' 'h',th,0.19200967391952872,think,think,0
31,s83,31,7,1, 'h' 'i',hi,0.16008195467293262,think,think,0
32,s83,32,7,2, 'i' 'n',in,0.199959522113204,think,think,0
33,s83,33,7,3, 'n' 'k',nk,0.1840620180591941,think,think,0
34,s83,34,8,0,'v' 'o',vo,0.21598333818838,vodka,vodka,0
35,s83,35,8,1, 'o' 'd',od,0.34400514187291265,vodka,vodka,0
36,s83,36,8,2, 'd' 'k',dk,0.15193922212347388,vodka,vodka,0
37,s83,37,8,3, 'k' 'a',ka,0.16809860290959477,vodka,vodka,0
38,s83,38,9,0,'f' 'a',fa,0.41591503703966737,faqir,faqir,1
39,s83,39,9,1, 'a' 'q',aq,0.33614177675917745,faqir,faqir,1
40,s83,40,9,2, 'q' 'i',qi,0.2638596682809293,faqir,faqir,1
41,s83,41,9,3, 'i' 'r',ir,0.15206521283835173,faqir,faqir,1
42,s83,42,10,0,'t' 'i',ti,0.16791419312357903,tithe,tithe,0
43,s83,43,10,1, 'i' 't',it,0.11997663602232933,tithe,tithe,0
44,s83,44,10,2, 't' 'h',th,0.12804672168567777,tithe,tithe,0
45,s83,45,10,3, 'h' 'e',he,0.12007324304431677,tithe,tithe,0
46,s83,46,11,0,'f' 'a',fa,0.38399792090058327,faqir,faqir,2
47,s83,47,11,1, 'a' 'q',aq,0.2159747127443552,faqir,faqir,2
48,s83,48,11,2, 'q' 'i',qi,0.22401713207364082,faqir,faqir,2
49,s83,49,11,3, 'i' 'r',ir,0.14390678936615586,faqir,faqir,2
50,s83,50,12,0,'t' 'i',ti,0.13589660311117768,tithe,tithe,1
51,s83,51,12,1, 'i' 't',it,0.12798962695524096,tithe,tithe,1
52,s83,52,12,2, 't' 'h',th,0.13609991874545813,tithe,tithe,1
53,s83,53,12,3, 'h' 'e',he,0.10397713491693139,tithe,tithe,1
54,s83,54,13,0,'p' 'u',pu,0.21596324909478426,puppy,puppy,1
55,s83,55,13,1, 'u' 'p',up,0.5120363449677825,puppy,puppy,1
56,s83,56,13,2, 'p' 'p',pp,0.1359036169014871,puppy,puppy,1
57,s83,57,13,3, 'p' 'y',py,0.12808343721553683,puppy,puppy,1
