,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #
0,s189,0,0,0,'w' 'o',wo,0.14390590181574225,would,would,0
1,s189,1,0,1, 'o' 'u',ou,0.11213000817224383,would,would,0
2,s189,2,0,2, 'u' 'l',ul,0.18398552108556032,would,would,0
3,s189,3,0,3, 'l' 'd',ld,0.13590223295614123,would,would,0
4,s189,4,1,0,'b' 'e',be,0.13602015189826488,belly,belly,0
5,s189,5,1,1, 'e' 'l',el,0.16001523518934846,belly,belly,0
6,s189,6,1,2, 'l' 'l',ll,0.1759613617323339,belly,belly,0
7,s189,7,1,3, 'l' 'y',ly,0.18406616104766726,belly,belly,0
8,s189,8,2,0,'v' 'a',va,0.22406629333272576,vanru,vanru,0
9,s189,9,2,1, 'a' 'n',an,0.2559482157230377,vanru,vanru,0
10,s189,10,2,2, 'n' 'r',nr,0.28807664988562465,vanru,vanru,0
11,s189,11,2,3, 'r' 'u',ru,0.1599642150104046,vanru,vanru,0
12,s189,12,3,0,'t' 'i',ti,0.15999154327437282,tithe,tithe,0
13,s189,13,3,1, 'i' 't',it,0.24001055490225554,tithe,tithe,0
14,s189,14,3,2, 't' 'h',th,0.15210990188643336,tithe,tithe,0
15,s189,15,3,3, 'h' 'e',he,0.16800501430407166,tithe,tithe,0
16,s189,16,4,0,'c' 'o',co,0.23993328399956226,cooed,cooed,0
17,s189,17,4,1, 'o' 'o',oo,0.16003779228776693,cooed,cooed,0
18,s189,18,4,2, 'o' 'e',oe,0.40010958490893245,cooed,cooed,0
19,s189,19,4,3, 'e' 'd',ed,0.24784214468672872,cooed,cooed,0
20,s189,20,5,0,'k' 'r',kr,0.48800647677853703,kremp,kremp,0
21,s189,21,5,1, 'r' 'e',re,0.20791751518845558,kremp,kremp,0
22,s189,22,5,2, 'e' 'm',em,0.7920872117392719,kremp,kremp,0
23,s189,23,5,3, 'm' 'p',mp,0.24803297594189644,kremp,kremp,0
24,s189,24,6,0,'c' 'h',ch,0.15196262300014496,champ,champ,0
