,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq
0,s209,0,0,0,'t' 'h',th,0.06397516280412674,think,think,0,22288309
1,s209,1,0,1, 'h' 'i',hi,0.11198523710481822,think,think,0,6198006
2,s209,2,0,2, 'i' 'n',in,0.1679189489223063,think,think,0,13597302
3,s209,3,0,3, 'n' 'k',nk,0.23210415011271834,think,think,0,445067
4,s209,4,1,0,'h' 'e',he,0.12003604392521083,heond,heond,0,21484684
5,s209,5,1,1, 'e' 'o',eo,0.06392961693927646,heond,heond,0,305120
6,s209,6,1,2, 'o' 'n',on,0.20002266601659358,heond,heond,0,8830487
7,s209,7,1,3, 'n' 'd',nd,0.3360657920129597,heond,heond,0,9414961
8,s209,8,2,0,'z' 'i',zi,0.07207066682167351,zibja,zibja,0,54565
9,s209,9,2,1, 'i' 'b',ib,0.16799494717270136,zibja,zibja,0,493267
10,s209,10,2,2, 'b' 'j',bj,0.23200875194743276,zibja,zibja,0,105433
11,s209,11,2,3, 'j' 'a',ja,0.11187350004911423,zibja,zibja,0,40073
12,s209,12,3,0,'e' 'd',ed,0.12008738610893488,edthe,edthe,0,7805967
13,s209,13,3,1, 'd' 't',dt,0.07992482301779091,edthe,edthe,0,11191
14,s209,14,3,2, 't' 'h',th,0.19208062579855323,edthe,edthe,0,22288309
15,s209,15,3,3, 'h' 'e',he,0.0959606661926955,edthe,edthe,0,21484684
16,s209,16,4,0,'t' 'h',th,0.08000611304305494,there,there,0,22288309
17,s209,17,4,1, 'h' 'e',he,0.11999682406894863,there,there,0,21484684
18,s209,18,4,2, 'e' 'r',er,0.0640597059391439,there,there,0,12934901
19,s209,19,4,3, 'r' 'e',re,0.15994797297753394,there,there,0,10687711
20,s209,20,5,0,'v' 'a',va,0.07204354298301041,vanru,vanry,0,560130
21,s209,21,5,1, 'a' 'n',an,0.16802037390880287,vanru,vanry,0,12315713
22,s209,22,5,2, 'n' 'r',nr,0.12799341301433742,vanru,vanry,0,54341
23,s209,23,5,3, 'r' 'y',ru,0.12004962307401001,vanru,vanry,0,705492
