,sID,Bigram #,Trial #,bigram_loc,Bigram,corr_bigram,IKI,string,resp_string,rep #,bg_freq,bf_type,meanbf_type,wf_type
0,s282,0,0,0,'v' 'o',vo,0.279977000085637,vodka,vodka,0,368238,low,low,med
1,s282,1,0,1, 'o' 'd',od,0.3840654999949038,vodka,vodka,0,1013147,med,low,med
2,s282,2,0,2, 'd' 'k',dk,0.29614639980718493,vodka,vodka,0,5347,low,low,med
3,s282,3,0,3, 'k' 'a',ka,0.19172840006649494,vodka,vodka,0,60568,low,low,med
4,s282,4,1,0,'f' 'q',fa,0.6318262999411672,faqir,fqir,0,1043958,med,low,low
5,s282,5,1,1, 'q' 'i',aq,1.311982800019905,faqir,fqir,0,4924,low,low,low
6,s282,6,1,2, 'i' 'r',qi,0.23194309999234974,faqir,fqir,0,36,low,low,low
7,s282,7,2,0,'l' 'u',lu,0.45600369991734624,lucky,lucky,0,568081,med,low,high
8,s282,8,2,1, 'u' 'c',uc,0.4320148001424968,lucky,lucky,0,891233,med,low,high
9,s282,9,2,2, 'c' 'k',ck,0.3199964000377804,lucky,lucky,0,925655,med,low,high
10,s282,10,2,3, 'k' 'y',ky,0.5040130999404937,lucky,lucky,0,49764,low,low,high
11,s282,11,3,0,'c' 'c',co,0.47979529993608594,cooed,ccooed,0,3609272,med,med,low
12,s282,12,3,1, 'c' 'o',oo,0.3520146000664681,cooed,ccooed,0,1933683,med,med,low
13,s282,13,3,2, 'o' 'o',oe,0.18401820003055036,cooed,ccooed,0,270012,low,med,low
14,s282,14,3,3, 'o' 'e',ed,0.43195859994739294,cooed,ccooed,0,7805967,high,med,low
15,s282,15,3,4, 'e' 'd',,0.31203010003082454,cooed,ccooed,0,,,med,low
16,s282,16,4,0,'t' 'h',th,0.2961206999607384,therm,therm,0,22288309,high,high,low
17,s282,17,4,1, 'h' 'e',he,0.5918920999392867,therm,therm,0,21484684,high,high,low
18,s282,18,4,2, 'e' 'r',er,0.312021000077948,therm,therm,0,12934901,high,high,low
19,s282,19,4,3, 'r' 'm',rm,0.16804319992661476,therm,therm,0,905131,med,high,low
20,s282,20,5,0,'c' 'h',ch,0.3439929001033306,cheer,cheer,0,3267507,med,high,med
21,s282,21,5,1, 'h' 'e',he,0.24000010010786355,cheer,cheer,0,21484684,high,high,med
22,s282,22,5,2, 'e' 'e',ee,0.14395689987577498,cheer,cheer,0,2839722,med,high,med
23,s282,23,5,3, 'e' 'r',er,0.5442085000686347,cheer,cheer,0,12934901,high,high,med
24,s282,24,6,0,'z' 'i',zi,0.520227300003171,zibja,zibja,0,54565,low,low,pseudo
25,s282,25,6,1, 'i' 'b',ib,0.5838508000597358,zibja,zibja,0,493267,low,low,pseudo
26,s282,26,6,2, 'b' 'j',bj,0.35197789990343153,zibja,zibja,0,105433,low,low,pseudo
27,s282,27,6,3, 'j' 'a',ja,0.14396430016495287,zibja,zibja,0,40073,low,low,pseudo
28,s282,28,7,0,'t' 'i',ti,0.4399137001018971,tithe,tithe,0,5135552,high,high,low
29,s282,29,7,1, 'i' 't',it,0.37619680003263056,tithe,tithe,0,6637233,high,high,low
30,s282,30,7,2, 't' 'h',th,0.32788729993626475,tithe,tithe,0,22288309,high,high,low
31,s282,31,7,3, 'h' 'e',he,0.17600710014812648,tithe,tithe,0,21484684,high,high,low
32,s282,32,8,0,'w' 'o',wo,0.2080889001954347,would,would,0,1723496,med,med,high
33,s282,33,8,1, 'o' 'u',ou,0.24797029979526997,would,would,0,7425307,high,med,high
34,s282,34,8,2, 'u' 'l',ul,0.5601817001588643,would,would,0,2181271,med,med,high
35,s282,35,8,3, 'l' 'd',ld,0.10384640004485846,would,would,0,2012500,med,med,high
36,s282,36,9,0,'h' 'e',th,0.2320956001058221,therm,herm,1,22288309,high,high,low
37,s282,37,9,1, 'e' 'r',he,0.2798689000774175,therm,herm,1,21484684,high,high,low
38,s282,38,9,2, 'r' 'm',er,0.16803970001637936,therm,herm,1,12934901,high,high,low
39,s282,39,10,0,'p' 'u',pu,0.3999407000374049,puppy,puppy,0,514720,low,low,med
40,s282,40,10,1, 'u' 'p',up,0.36005240003578365,puppy,puppy,0,968744,med,low,med
41,s282,41,10,2, 'p' 'p',pp,0.16801230004057288,puppy,puppy,0,805170,med,low,med
42,s282,42,10,3, 'p' 'y',py,0.328064699890092,puppy,puppy,0,149099,low,low,med
43,s282,43,11,0,'t' 'h',th,0.16790310014039278,think,think,0,22288309,high,high,high
44,s282,44,11,1, 'h' 'i',hi,0.18410569988191128,think,think,0,6198006,high,high,high
45,s282,45,11,2, 'i' 'n',in,0.3119175999891013,think,think,0,13597302,high,high,high
46,s282,46,11,3, 'n' 'k',nk,0.19990150001831353,think,think,0,445067,low,high,high
47,s282,47,12,0,'v' 'a',va,0.7517844999674708,vanru,vanru,0,560130,med,med,pseudo
48,s282,48,12,1, 'a' 'n',an,0.2642037000041455,vanru,vanru,0,12315713,high,med,pseudo
49,s282,49,12,2, 'n' 'r',nr,0.2878268000204116,vanru,vanru,0,54341,low,med,pseudo
50,s282,50,12,3, 'r' 'u',ru,0.17607659986242652,vanru,vanru,0,705492,med,med,pseudo
51,s282,51,13,0,'b' 'u',bu,0.3037141999229789,buddy,buddy,0,1183063,med,low,high
52,s282,52,13,1, 'u' 'd',ud,0.21605140017345548,buddy,buddy,0,458716,low,low,high
53,s282,53,13,2, 'd' 'd',dd,0.23206839989870787,buddy,buddy,0,306083,low,low,high
54,s282,54,13,3, 'd' 'y',dy,0.2560292000416666,buddy,buddy,0,360103,low,low,high
55,s282,55,14,0,'k' 'r',kr,0.2562496999744326,kremp,kremp,0,5683,low,med,pseudo
56,s282,56,14,1, 'r' 'e',re,0.3037505999673158,kremp,kremp,0,10687711,high,med,pseudo
57,s282,57,14,2, 'e' 'm',em,0.6241073999553919,kremp,kremp,0,2039661,med,med,pseudo
58,s282,58,14,3, 'm' 'p',mp,0.3758960000704974,kremp,kremp,0,1042198,med,med,pseudo
59,s282,59,15,0,'h' 'e',he,0.13602969981729984,heond,heond,0,21484684,high,high,pseudo
60,s282,60,15,1, 'e' 'o',eo,0.17585190013051033,heond,heond,0,305120,low,high,pseudo
61,s282,61,15,2, 'o' 'n',on,0.5040867000352591,heond,heond,0,8830487,high,high,pseudo
62,s282,62,15,3, 'n' 'd',nd,0.15994359995238483,heond,heond,0,9414961,high,high,pseudo
63,s282,63,16,0,'e' 'd',ed,0.3120767001528293,edthe,edthe,0,7805967,high,high,pseudo
64,s282,64,16,1, 'd' 't',dt,0.6480401998851448,edthe,edthe,0,11191,low,high,pseudo
65,s282,65,16,2, 't' 'h',th,0.16002000006847084,edthe,edthe,0,22288309,high,high,pseudo
66,s282,66,16,3, 'h' 'e',he,0.12785129994153976,edthe,edthe,0,21484684,high,high,pseudo
67,s282,67,17,0,'b' 'u',bu,0.39191089989617467,buddy,buddy,1,1183063,med,low,high
68,s282,68,17,1, 'u' 'd',ud,0.18401650013402104,buddy,buddy,1,458716,low,low,high
69,s282,69,17,2, 'd' 'd',dd,0.16004939982667565,buddy,buddy,1,306083,low,low,high
70,s282,70,17,3, 'd' 'y',dy,0.15990990004502237,buddy,buddy,1,360103,low,low,high
71,s282,71,18,0,'l' 'u',lu,0.31981350015848875,lucky,lucky,1,568081,med,low,high
72,s282,72,18,1, 'u' 'c',uc,0.20008989982306957,lucky,lucky,1,891233,med,low,high
73,s282,73,18,2, 'c' 'k',ck,0.19981799996457994,lucky,lucky,1,925655,med,low,high
74,s282,74,18,3, 'k' 'y',ky,0.32006970001384616,lucky,lucky,1,49764,low,low,high
75,s282,75,19,0,'f' 'a',fa,0.23210950009524822,faqir,faqir,1,1043958,med,low,low
76,s282,76,19,1, 'a' 'q',aq,0.4319326998665929,faqir,faqir,1,4924,low,low,low
77,s282,77,19,2, 'q' 'i',qi,0.48008250002749264,faqir,faqir,1,36,low,low,low
78,s282,78,19,3, 'i' 'r',ir,0.15987329999916255,faqir,faqir,1,2142678,med,low,low
79,s282,79,20,0,'l' 'u',lu,0.32806120021268725,lucky,lucky,2,568081,med,low,high
80,s282,80,20,1, 'u' 'c',uc,0.15205139992758632,lucky,lucky,2,891233,med,low,high
81,s282,81,20,2, 'c' 'k',ck,0.1758892999496311,lucky,lucky,2,925655,med,low,high
82,s282,82,20,3, 'k' 'y',ky,0.34388589998707175,lucky,lucky,2,49764,low,low,high
83,s282,83,21,0,'v' 'a',va,0.20791639992967248,vanru,vanru,1,560130,med,med,pseudo
84,s282,84,21,1, 'a' 'n',an,0.19219399988651276,vanru,vanru,1,12315713,high,med,pseudo
85,s282,85,21,2, 'n' 'r',nr,0.3998996000736952,vanru,vanru,1,54341,low,med,pseudo
86,s282,86,21,3, 'r' 'u',ru,0.19989700010046363,vanru,vanru,1,705492,med,med,pseudo
87,s282,87,22,0,'t' 'h',th,0.23996859998442233,there,there,0,22288309,high,high,high
88,s282,88,22,1, 'h' 'e',he,0.16004260000772774,there,there,0,21484684,high,high,high
89,s282,89,22,2, 'e' 'r',er,0.1599339998792857,there,there,0,12934901,high,high,high
90,s282,90,22,3, 'r' 'e',re,0.12007870012894273,there,there,0,10687711,high,high,high
91,s282,91,23,0,'k' 'r',kr,0.16801160015165806,kremp,kremp,1,5683,low,med,pseudo
92,s282,92,23,1, 'r' 'e',re,0.12797289993613958,kremp,kremp,1,10687711,high,med,pseudo
93,s282,93,23,2, 'e' 'm',em,0.17604080005548894,kremp,kremp,1,2039661,med,med,pseudo
94,s282,94,23,3, 'm' 'p',mp,0.4002025998197496,kremp,kremp,1,1042198,med,med,pseudo
95,s282,95,24,0,'b' 'e',be,0.15208219992928207,belly,belly,0,3798740,med,med,med
96,s282,96,24,1, 'e' 'l',el,0.36004179995507,belly,belly,0,3235254,med,med,med
97,s282,97,24,2, 'l' 'l',ll,0.18398670013993979,belly,belly,0,4235407,med,med,med
98,s282,98,24,3, 'l' 'y',ly,0.3679849000182003,belly,belly,0,2589130,med,med,med
99,s282,99,25,0,'h' 'a',ha,0.18400080013088882,haole,hao,0,6967591,high,med,low
100,s282,100,25,1, 'a' 'o',ao,1.416133799823001,haole,hao,0,25487,low,med,low
101,s282,101,26,0,'e' 'd',ed,0.2557665000203997,edthe,edthe,1,7805967,high,high,pseudo
102,s282,102,26,1, 'd' 't',dt,0.3198508999776095,edthe,edthe,1,11191,low,high,pseudo
103,s282,103,26,2, 't' 'h',th,0.1839870000258088,edthe,edthe,1,22288309,high,high,pseudo
104,s282,104,26,3, 'h' 'e',he,0.09604950016364455,edthe,edthe,1,21484684,high,high,pseudo
105,s282,105,27,0,'t' 'i',ti,0.4080075998790562,tithe,tithe,1,5135552,high,high,low
106,s282,106,27,1, 'i' 't',it,0.21586339990608394,tithe,tithe,1,6637233,high,high,low
107,s282,107,27,2, 't' 'h',th,0.3761420000810176,tithe,tithe,1,22288309,high,high,low
108,s282,108,27,3, 'h' 'e',he,0.14395199995487928,tithe,tithe,1,21484684,high,high,low
109,s282,109,28,0,'p' 'y',py,0.8881222999189049,pykka,pykka,0,149099,low,low,pseudo
110,s282,110,28,1, 'y' 'k',yk,0.6878335000947118,pykka,pykka,0,4767,low,low,pseudo
111,s282,111,28,2, 'k' 'k',kk,0.18393979989923537,pykka,pykka,0,1820,low,low,pseudo
112,s282,112,28,3, 'k' 'a',ka,0.12026720005087554,pykka,pykka,0,60568,low,low,pseudo
113,s282,113,29,0,'c' 'h',ch,0.1679798001423478,cheer,cheer,1,3267507,med,high,med
114,s282,114,29,1, 'h' 'e',he,0.21617030003108084,cheer,cheer,1,21484684,high,high,med
115,s282,115,29,2, 'e' 'e',ee,0.21592809981666505,cheer,cheer,1,2839722,med,high,med
116,s282,116,29,3, 'e' 'r',er,0.2399209002032876,cheer,cheer,1,12934901,high,high,med
117,s282,117,30,0,'t' 'i',ti,0.23197929980233312,tithe,tithe,2,5135552,high,high,low
118,s282,118,30,1, 'i' 't',it,0.15207450021989644,tithe,tithe,2,6637233,high,high,low
119,s282,119,30,2, 't' 'h',th,0.2640450999606401,tithe,tithe,2,22288309,high,high,low
