,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.keys.7,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,key_resp.rt.7,resp_string,WF Type,BF Type
0,p09,0,think,th,hi,in,nk,t,h,i,n,k,,,0.966381823993288,0.9983707219944336,1.174422782001784,1.3583741189795546,1.7823716029815841,0.0,0.0,think,highwf,highbf
1,p09,1,buddy,bu,ud,dd,dy,b,u,d,d,y,,,0.8808587509847712,1.2247873340093065,1.904795918992022,2.048772009991808,2.1127632060088217,0.0,0.0,buddy,highwf,lowbf
2,p09,2,tithe,ti,it,th,he,t,i,t,h,e,,,1.1014292360050604,1.181422432011459,1.5573808410263155,1.6134316580137238,1.725387785001658,0.0,0.0,tithe,lowwf,highbf
3,p09,3,kremp,kr,re,em,mp,k,t,r,e,m,p,,1.0413621159968898,1.1614253160078079,1.6173577579902485,1.8093797079927754,2.06540749699343,2.3694304520031437,0.0,ktremp,pseudo,medbf
4,p09,4,therm,th,he,er,rm,t,h,e,e,r,m,,0.9486974689934868,0.996695655019721,1.0926331810187548,1.2686679259932134,1.6366622770146932,1.7246253530029207,0.0,theerm,lowwf,highbf
5,p09,5,haole,ha,ao,ol,le,h,a,o,l,e,,,1.0648260340094566,1.1927684810070787,1.8488237540004775,2.2407671970140655,2.2968403510167263,0.0,0.0,haole,lowwf,medbf
6,p09,6,champ,ch,ha,am,mp,c,h,a,m,p,,,1.1165060899802484,1.196566245984286,1.2765161349962,1.612569041986717,1.8125494919950143,0.0,0.0,champ,medwf,medbf
7,p09,7,cooed,co,oo,oe,ed,c,o,o,e,d,,,0.9371387220162433,1.0331344500009436,1.1611940150032751,1.241083733009873,1.4170881909958553,0.0,0.0,cooed,lowwf,medbf
8,p09,8,there,th,he,er,re,t,h,e,r,e,,,0.8130139020213392,0.8849756680137943,0.9889212530106306,1.268998053012183,1.4209266880061477,0.0,0.0,there,highwf,highbf
9,p09,9,vanru,va,an,nr,ru,v,a,n,r,u,,,1.1836250649939757,1.5516037289926317,1.7035358319990337,2.127541032998124,2.199543596012518,0.0,0.0,vanru,pseudo,medbf
10,p09,10,therm,th,he,er,rm,t,h,e,r,m,,,0.8983742939890362,0.9624122509849258,1.090374730003532,1.2903750669793226,1.4023677140066866,0.0,0.0,therm,lowwf,highbf
11,p09,11,zibja,zi,ib,bj,ja,z,i,b,j,a,,,1.261653102003038,1.365656151989242,1.5576542310009245,1.7417009119817521,1.8776839099882636,0.0,0.0,zibja,pseudo,lowbf
