,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,resp_string,WF Type,BF Type
0,s278,0,edthe,ed,dt,th,he,e,d,t,h,e,,1.256119200028479,1.4559907999355346,1.6321487000677735,1.7201304999180138,1.7919950999785215,0.0,edthe,pseudo,
1,s278,1,would,wo,ou,ul,ld,w,o,u,l,d,,0.8687337001319975,0.9886785000562668,1.1009959001094103,2.348732199985534,2.436692100018263,0.0,would,highwf,
2,s278,2,belly,be,el,ll,ly,b,e,l,l,y,,0.7206596999894828,0.8008003998547792,1.0485908999107778,1.1765689000021666,1.3607445999514312,0.0,belly,medwf,
3,s278,3,vodka,vo,od,dk,ka,v,o,d,k,e,a,1.2205549001228064,1.3406804001424462,1.4685796000994742,1.7405821001157165,1.8046311000362039,2.5008459000382572,vodkea,medwf,
4,s278,4,buddy,bu,ud,dd,dy,b,u,u,d,d,y,0.8328064999077469,0.9846042999997735,1.1687089998740703,1.3205698998644948,1.840602699900046,2.344605299877003,buuddy,highwf,
5,s278,5,vodka,vo,od,dk,ka,v,o,d,k,a,,1.052581099793315,1.3165444999467582,1.5165702998638153,1.772605499951169,1.8287359999958426,0.0,vodka,medwf,
6,s278,6,there,th,he,er,re,t,h,e,r,e,,0.6486328998580575,0.7045827999245375,0.8085601998027414,0.9288376998156309,1.048685599816963,0.0,there,highwf,
7,s278,7,belly,be,el,ll,ly,b,e,l,l,y,,0.7164798001758754,0.8285624000709504,1.788613900076598,1.9405354000627995,2.0124712001997977,0.0,belly,medwf,
8,s278,8,druze,dr,ru,uz,ze,d,r,u,z,e,,0.6166046999860555,0.8485679000150412,1.040581300156191,2.2085540001280606,2.408514500129968,0.0,druze,lowwf,
9,s278,9,haole,ha,ao,ol,le,h,a,o,l,e,,0.9644569999072701,1.0523982997983694,1.5085857999511063,1.6765189999714494,1.7804835999850184,0.0,haole,lowwf,
10,s278,10,there,th,he,er,re,t,h,e,r,e,,0.6564140000846237,0.7764673000201583,0.9364394000731409,1.0084556001238525,1.1125477000605315,0.0,there,highwf,
