,sID,Trial #,string,bi_1,bi_2,bi_3,bi_4,key_resp.keys.1,key_resp.keys.2,key_resp.keys.3,key_resp.keys.4,key_resp.keys.5,key_resp.keys.6,key_resp.keys.7,key_resp.rt.1,key_resp.rt.2,key_resp.rt.3,key_resp.rt.4,key_resp.rt.5,key_resp.rt.6,key_resp.rt.7,resp_string,WF Type,BF Type
0,p10,0,haole,ha,ao,ol,le,h,a,i,backspace,o,l,e,1.57147740497021,1.7394242929876782,2.019424142956268,2.595436888979748,2.9794780510128476,3.147426854004152,3.227453922969289,haibackspaceole,lowwf,medbf
1,p10,1,buddy,bu,ud,dd,dy,b,u,d,d,y,,,1.2510919829946943,1.5230573980370536,1.8270996750216,2.0030284890090115,2.0910401709843427,0.0,0.0,buddy,highwf,lowbf
2,p10,2,druze,dr,ru,uz,ze,d,r,u,z,e,,,0.9126923400326632,1.1368124230066314,1.320724635035731,1.6647293920395896,1.9527325910166837,0.0,0.0,druze,lowwf,lowbf
3,p10,3,puppy,pu,up,pp,py,p,u,p,p,y,,,1.0122487140470184,1.5163247510208748,1.7962493850500323,1.9402203170466237,2.124186149041634,0.0,0.0,puppy,medwf,lowbf
4,p10,4,therm,th,he,er,rm,t,h,e,r,m,,,1.069384174013976,1.285395770042669,1.413475000008475,1.613925283018034,1.7416556540410966,0.0,0.0,therm,lowwf,highbf
5,p10,5,haole,ha,ao,ol,le,h,a,o,l,e,,,1.138388429011684,1.3385968310176395,1.5943915270036086,1.77038621698739,1.8743997699930333,0.0,0.0,haole,lowwf,medbf
6,p10,6,about,ab,bo,ou,ut,a,b,o,u,t,,,0.8068606700398959,1.0309079220169224,1.2548558380221948,1.4308952889987268,1.5269129510270432,0.0,0.0,about,highwf,medbf
7,p10,7,champ,ch,ha,am,mp,c,h,a,m,p,,,0.9949217810062692,1.1469758560415357,1.3069319530040957,1.4509232630371116,1.6429248250206,0.0,0.0,champ,medwf,medbf
8,p10,8,would,wo,ou,ul,ld,w,o,u,l,d,,,1.0550881139934063,1.6631460990174673,1.8791133550112136,2.247173292969819,2.3590683930087835,0.0,0.0,would,highwf,medbf
9,p10,9,vanru,va,an,nr,ru,v,a,n,r,u,,,1.3694499870180152,1.465441517997533,1.7374493419774808,1.977542602980975,2.1058488939888775,0.0,0.0,vanru,pseudo,medbf
10,p10,10,pykka,py,yk,kk,ka,p,y,k,k,a,f,,1.1427403209963813,1.5107968329684809,1.8227720009745099,1.9427500540041365,2.030796126986388,2.662784610991366,0.0,pykkaf,pseudo,lowbf
11,p10,11,would,wo,ou,ul,ld,w,u,l,d,,,,0.9867430080194026,1.6906834159744903,2.0106899910024367,2.1226846849895082,0.0,0.0,0.0,wuld,highwf,medbf
12,p10,12,cheer,ch,he,ee,er,c,h,e,e,r,,,0.8544838590314612,1.014475753006991,1.1904709150549024,1.3825538420351222,1.5744726289995015,0.0,0.0,cheer,medwf,highbf
13,p10,13,about,ab,bo,ou,ut,a,b,o,u,t,,,0.9706672840402462,1.1786410119966604,1.4586364240385592,1.7786792440456338,1.898713687027339,0.0,0.0,about,highwf,medbf
14,p10,14,zibja,zi,ib,bj,ja,a,b,i,j,,,,1.317280118004419,1.6293155379826203,3.0692737409844995,3.405266560963355,0.0,0.0,0.0,abij,pseudo,lowbf
15,p10,15,druze,dr,ru,uz,ze,d,r,u,z,e,,,1.2660567429848015,1.5140199500019662,1.6420142980059609,1.9140097869676538,2.170062713965308,0.0,0.0,druze,lowwf,lowbf
16,p10,16,vanru,va,an,nr,ru,v,a,n,r,u,,,1.0700766860391013,1.1740288430009969,1.3740181929897517,1.542021363042295,1.670067569008097,0.0,0.0,vanru,pseudo,medbf
17,p10,17,buddy,bu,ud,dd,dy,b,u,d,d,y,,,0.8659401399781927,1.1138953879708424,1.2898578469757922,1.465964952018112,1.561907393974252,0.0,0.0,buddy,highwf,lowbf
18,p10,18,tithe,ti,it,th,he,t,i,t,h,e,,,1.1020637270412408,1.414017639006488,1.7180611380026676,1.942023619019892,2.0540623030392453,0.0,0.0,tithe,lowwf,highbf
19,p10,19,kremp,kr,re,em,mp,k,r,e,m,p,,,1.1700374420033768,1.297976556001231,1.5219770449912176,1.6579890149878338,1.8820166590157896,0.0,0.0,kremp,pseudo,medbf
20,p10,20,cooed,co,oo,oe,ed,c,o,o,e,d,,,1.0220110119553283,1.4140128629514948,1.8460132549516857,2.2300992109812796,2.4540525960037485,0.0,0.0,cooed,lowwf,medbf
21,p10,21,vanru,va,an,nr,ru,v,a,n,r,u,,,1.065948917006608,1.2178781449911185,1.4178795999614522,1.5699347839690745,1.6979093969566748,0.0,0.0,vanru,pseudo,medbf
22,p10,22,puppy,pu,up,pp,py,p,u,p,p,y,,,0.9178700670017861,1.2218199289636686,1.6298723410000093,1.7978222519741394,1.8938456230098382,0.0,0.0,puppy,medwf,lowbf
23,p10,23,faqir,fa,aq,qi,ir,f,a,q,i,r,,,1.857440444000531,1.961440269020386,2.201506461016834,2.4414409280288965,3.09744005597895,0.0,0.0,faqir,lowwf,lowbf
24,p10,24,cooed,co,oo,oe,ed,c,o,o,e,d,,,0.8379664300009608,1.03000572999008,1.1820360079873353,1.349991915980354,1.5660387059906498,0.0,0.0,cooed,lowwf,medbf
25,p10,25,there,th,he,er,re,t,h,e,r,e,,,0.906021717004478,1.10602458298672,1.194027028977871,1.3860753659973852,1.5781271969899535,0.0,0.0,there,highwf,highbf
26,p10,26,puppy,pu,up,pp,py,p,u,p,p,y,,,0.8779879409703426,1.237912462966051,1.6299561189953238,1.78195842000423,1.8779901210218668,0.0,0.0,puppy,medwf,lowbf
27,p10,27,tithe,ti,it,th,he,t,i,t,h,e,,,0.9300783390062861,1.1140887499786913,1.1940386740025133,1.3620392989832908,1.4740399760194123,0.0,0.0,tithe,lowwf,highbf
28,p10,28,lucky,lu,uc,ck,ky,l,u,c,k,y,,,0.9659865919966251,1.2619560689781792,1.4939412110252306,1.637936728016939,1.8939412549952976,0.0,0.0,lucky,highwf,lowbf
29,p10,29,cheer,ch,he,ee,er,c,h,e,e,r,,,0.7459232459659688,0.9219180049840361,1.065965857997071,1.2419331209966913,1.44192968896823,0.0,0.0,cheer,medwf,highbf
